,rdmary,Class A y,Class A y,Class X,,,,,,,,,,
,rdmary,No.,No.,Class X,No.,Restricted,Additional,Treasury Shares,,Accumulated Other Comprehensive,Total Accenture plc Shareholders',,,Shareholders'
Net income,$ Shares,$,Shares,$ Shares,Snie,Padt,$,No. Shares,"Retained Earnings 5,107,839",Loss,"Equity 5,107,839","Noconrtol 77,474",,"Total Equity 5,185,313"
Other comprehensive income,,,,,,,,,,,"278,740","278,740",8.243,"286,983"
(oss) Purchases of Class A shares,,,,,,"3,116","(2,894,253)","(14,730)",,,,"(2,891,137)","(3,116）","(2,894,253)"
Cancellation of treasury shares,,,"(5,526)",,,"(108,670)","1,056,145","5,526","(947,475)",,,,,
Share-based compensation expense,,,,,"1,118,284","79,522",,,,,"1,197,806",,,"1,197,806"
Purchases/redemptions of AccentureCanada Holdings,,,,,(81),"(21,594)",,,,,,"(21,594)",,"(21,594)"
Inc.exchangeable sharesand ClassXshares,,,,,,,,,,,,,,
Issuances of ClassAshares for employeeshareprograms,,,"9,336",,"(1,022,144)","1,409,627","660,723","3,786",,"(93,912)",,"954,294","1,014","955,308"
Dividends,,,,,,"77,259",,,,"(2,112,457)",,"(2,035,198)",(2.535),"(2,037,733)"
"Other, net",,,"658,549$",,,"528$1,585,302$7,167,227","778 $(2,565,761)",,"(24,423）$12,375,533$",,,778,"（1,126) 498,637",(348)
"Balance as of August 31,2020$57",,40$15,,,,,,,,,"(1,561,837)$","17,000,536",$,"17,499,173"
