Fiscal,2020,2019,2018
INDUSTRY GROUPS,,"Communications, Media & Technology","8883173,8757250,8229842"
INDUSTRY GROUPS,,Financial Services,"8518136,8493819,8565695"
INDUSTRY GROUPS,,Health & Public Service,"8022704,7160787,6877779"
INDUSTRY GROUPS,,Products,"12272036,12004934,11337863"
INDUSTRY GROUPS,,Resources,"6611544,6771976,5942012"
INDUSTRY GROUPS,,Other,"19446,26247,39343"
INDUSTRY GROUPS,,Total,"44327039,43215013,40992534"
TYPE OF WORK,,Consulting,"24227024,24177428,22978798"
TYPE OF WORK,,Outsourcing,"20100015,19037585,18013736"
TYPE OF WORK,,Total,"44327039,43215013,40992534"
