,Pension Plans,Pension Plans,Pension Plans,Pension Plans,Postretirement Plans,Postretirement Plans
,"August 31, 2020","August 31, 2020","August 31, 2019","August 31, 2019","August 31, 2020 U.S. and","August 31, 2019 U.S. and"
,U.S. Plans,Non- U.S. Plans,U.S. Plans,Non- U.S. Plans,Non-U.s. Plans,Non-U.S. Plans
Reconciliation of benefit obligation,,,,,,
"Benefit obligation,beginning of year","$383,557","$ 2,166,377","$331,916","$1,772,712","$ 576,596","$ 535,632"
Service cost,"3,080","108,871","3,100",88.913,"22,142","18,056"
Interest cost,"9,771","44,395","12,364","52,466","15,647","20,498"
Participant contributions,一,"12,521",二,"11,989",一,二
Acquisitions/divestitures/transfers,,14,一,"28,510",,
Amendments,,二,,"2,105",,
Curtailment,,1,,"(6,477)",,
Pension settlement,1,(188),二,"(9,343)",一,1
Actuarial (gain) loss,"26,495","(12,278)","50,002","379,173","46,630",16.880
Benefits paid,"(14,637)","(94,136)","(13,825)","(85,624)","(12,115)","(13,637)"
Exchange rate impact,,"131,829",1,"(68,047)",428,(833）
"Benefit obligation, end of year Reconciliation of fair value of plan","$ 408,266","$ 2,357,405","$ 383,557","$2,166,377","$ 649,328","$ 576,596"
"assets Fair value of plan assets,beginning of",,,,,,
year,"$ 257,280","$ 1,214,062","$ 210,576","$1,127,376","$ 31,920","$ 28,713"
Actual return on plan assets Acquisitions/divestitures/transfers,"27,911",46.815,"50,397","97,845","2,079","4,924"
Employer contributions,"一 10,635","1 88,068","二 10,131","25,347",1,二
Participant contributions,,"12,521",二,"81,531 11,989","9,942","11,920"
Pension settlement,,1,1,,二,二
Benefits paid,1,,"(13,824)","(8,801)",1,1
Exchange rate impact,"(14,637)","(94,136)",,"(85,624)","(12,115)","(13,637)"
Other,1,"89,049",二,"(35,601)",二,二
"Fair value of plan assets, end of year",一,(672),1,1,1,1
"Funded status,end of year","$281,189","$ 1,355,707","$257,280","$1,214,062","$ 31,826","$ 31,920"
Amounts recognized in the Consolidated,"$ (127,077)","$ (1,001,698)","$(126,277)","$(952,315)","$ (617,502)","$(544,676)"
Balance Sheets,,,,,,
Non-current assets,"$ 3,232","$ 67,341","$ 6,707","$ 67,396",$,$
Current liabilities,"(10,213)","(42,990)","(10,473)","(33,981)","(1,169)","(1,257)"
"Non-current liabilities Funded status,end of year","(120,096)","(1,026,049)","(122,511)","(985,730)","(616,333)","(543,419)"
,$,"(127,077) $ (1,001,698)","(126,277)","$ (952,315)","$ (617,502)","$ (544,676)"
