,2020,2019,2018
REVENUES:,,,
Revenues,"$ 44,327,039","$43,215,013","$40,992,534"
OPERATING EXPENSES:,,,
Cost of services,"30,350,881","29,900,325","28,499,170"
Sales and marketing,"4,625,929","4,447,456","4,196,201"
General and administrative costs,"2,836,585","2,562,158","2,398,384"
Total operating expenses,"37,813,395","36,909,939","35,093,755"
OPERATING INCOME,"6,513,644","6,305,074","5,898,779"
Interest income,"69,331","87,508","56,337"
Interest expense,"(33,071)","(22,963)","(19,539)"
"Other income (expense), net","224,427","(117,822)","(127,484)"
INCOMEBEFORE INCOME TAXES,"6,774,331","6,251,797","5,808,093"
Income tax expense,"1,589,018","1,405,556","1,593,499"
NET INCOME,"5,185,313","4,846,241","4,214,594"
Net income attributable to noncontrolling interests in Accenture Holdings plc and Accenture Canada Holdings Inc.,,,
Net income attributable to noncontrolling interests -other,"(6,325) (71,149)","(6,694) (60,435)","(95,063)"
NET INCOME ATTRIBUTABLE TO ACCENTURE PLC,"$ 5,107,839","$ 4,779,112","(59,624)"
Weighted average Class A ordinary shares:,,,"$ 4,059,907"
Basic,,,
Diluted,"636,299,913","638,098,125","628,451,742"
Earnings per Class A ordinary share:,"647,797,003","650,204,873","655,296,150"
Basic,,,
Diluted,$ 8.03,$ 7.49,$ 6.46
Cash dividends per share,$ 7.89 $ 3.20,$ 7.36 $ 2.92,$ 6.34 $ 2.66
