Basic weighted average Class A ordinary shares\t636,299,913\t638,098,125\t628,451,742
Fiscal\t2020\t2019\t2018\nBasic Earnings per share\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t,,,,,,
Basic earnings per share\t$8.03\t$7.49\t$6.46,,,,,,
Diluted Earnings per share\tNet income attributable to Accenture plc\tNet income attributable to noncontrolling interests in Accenture Holdings plc and Accenture Canada Holdings Inc. (1)\tNet income for diluted earnings per share calculation,,,,,,
Net income attributable to Accenture plc\t$5,107,839\t\t$5,114,164,,
Net income attributable to noncontrolling interests in Accenture Holdings plc and Accenture Canada Holdings Inc. (1)\t\t6,325\t6,694\t95,063,,,
Net income for diluted earnings per share calculation\t\t\t$4,785,806\t$4,154,970,,
Net income for diluted earnings per share calculation\t$5,000\t$5,000\t$5,000,,,
Basic weighted average Class A ordinary shares\t$5,114,164\t$4,"785,806\t$4,154,970",,,
Class A ordinary shares issuable upon redemption/exchange of noncontrolling interests (1)\t787,429\t892,654\t14,"716,884",,,
Diluted effect of employee compensation related to Class A ordinary shares\t10,599,773\t11,"111,679\t11,948,075",,,
Diluted effect of share purchase plans related to Class A ordinary shares\t109,888\t102,415\t179,449,,,
Diluted weighted average Class A ordinary shares\t647,797,003\t650,"204,873\t655,296,150",,,
Diluted earnings per share\t$7.89\t$7.36\t$6.34,,,,,,
