,,Page
Part I,Part I,
Item 1. Business,,2
Item 1A.,Risk Factors,10
Item 1B.,Unresolved Staff Comments,24
Item 2.,Properties,24
Item 3.,Legal Proceedings,24
Item 4.,Mine Safety Disclosures,24
Part I,Part I,
Item 5.,Market for Registrant's Common Equity. Related Shareholder Matters and Issuer Purchases of Equity Securities,
Item 6.,Selected Financial Data,25
Item 7.,,27
Item 7A.,Management's Discussion and Analysis of Financial Condition and Results of Operations,28
,Quantitative and Qualitative Disclosures about Market Risk,38
Item 8.,Financial Statements and Supplementary Data,39
Item 9.,Changes in and Disagreements With Accountants on Accounting and Financial Disclosure,39
Item 9A.,Controls and Procedures,39
Item 9B.,Other Information,40
Part III,Part III,
Item 10.,"Directors, Executive Officers and Corporate Governance",41
Item 11.,Executive Compensation,41
Item 12.,Security Ownership of Certain Beneficial Owners and Management and Related,
,Shareholder Matters,Shareholder Matters
Item 13.,"Certain Relationships and Related Transactions, and Director Independence",42 42
Item 14.,Principal Accountant Fees and Services,43
PartIV,PartIV,
Item 15.,"Exhibits, Financial Statement Schedules",44
Item 16.,,46
Form 10-K Summary Signatures,Form 10-K Summary Signatures,47
