(in millions of U.S. dollars),,,Fiscar,,2016 (2) (5)
Income Statement Data,2020 (1),2019,2018 (2) (3),2017 (2) (4),
Revenues,,,,,
Operating income,"$ 44,327","$ 43,215","$ 40,993","$ 36,177","$ 34,254"
Net income,"6,514","6,305","5,899","5,191",4.846
Net income attributable to Accenture plc,"5,185","4,846","4,215","3,635","4,350"
Earnings Per Class A Ordinary Share,"5,108","4,779","4,060","3,445","4,112"
Basic,,,,,
Diluted,$ 8.03,$ 7.49$,6.46$,5.56$,6.58
Dividends per ordinary share,7.89,7.36,6.34,5.44,6.45
,3.20,2.92,2.66,2.42,2.20
