Fiscal 2020,First Quarter,Second Quarter,Third Quarter,Fourth Quarter,Annual
Revenues,"$ 11,358,958","$ 11,141,505","$ 10,991,305","$ 10,835,271","$ 44,327,039"
Cost of services,"$ 7,711,199","$ 7,782,334","$ 7,462,617","$ 7,394,731","$ 30,350,881"
Operating income,"$ 1,767,263","$ 1,488,945","$ 1,712,733","$ 1,544,703","$ 6,513,644"
Net income,"$ 1,375,168","$ 1,252,082","$ 1,252,639","$ 1,305,424","$ 5,185,313"
Net income attributable to Accenture plc,"$ 1,356,968","$ 1,234,740","$ 1,228,202","$ 1,287,929","$ 5,107,839"
Weighted average Class A ordinary shares:,,,,,
,Basic,635,722,309,"637,485,626,636,146,240,635,887,742,636,299,913"
,Diluted,649,389,444,"648,833,880,645,607,914,647,867,307,647,797,003"
Earnings per Class A ordinary share:,,,,,
,Basic,$ 2.13,$ 1.94,$ 1.93,"$ 2.03,$ 8.03"
,Diluted,$ 2.09,$ 1.91,$ 1.90,"$ 1.99,$ 7.89"
Fiscal 2019,First Quarter,Second Quarter,Third Quarter,Fourth Quarter,Annual
Revenues,"$ 10,605,546","$ 10,454,129","$ 11,099,688","$ 11,055,650","$ 43,215,013"
Cost of services,"$ 7,308,121","$ 7,399,780","$ 7,571,390","$ 7,621,034","$ 29,900,325"
Operating income,"$ 1,629,012","$ 1,386,626","$ 1,717,943","$ 1,571,493","$ 6,305,074"
Net income,"$ 1,291,324","$ 1,140,720","$ 1,268,649","$ 1,145,548","$ 4,846,241"
Net income attributable to Accenture plc,"$ 1,274,720","$ 1,124,449","$ 1,249,516","$ 1,130,427","$ 4,779,112"
Weighted average Class A ordinary shares:,,,,,
,Basic,638,877,445,"638,639,729,637,831,341,637,049,388,638,098,125"
,Diluted,652,151,450,"649,170,699,649,297,717,650,523,417,650,204,873"
Earnings per Class A ordinary share:,,,,,
,Basic,$ 2.00,$ 1.76,$ 1.96,"$ 1.77,$ 7.49"
,Diluted,$ 1.96,$ 1.73,$ 1.93,"$ 1.74,$ 7.36"
