,Fiscal,Fiscal,Fiscal
,2020,2019,2018
Basic Earnings per share,,,
Net income attributable to Accenture plc,"$ 5,107,839","$ 4,779,112","$ 4,059,907"
Basic weighted average Class Aordinary shares,"636,299,913","638,098,125","628,451,742"
Basic earnings per share,$ 8.03,$ 7.49,$ 6.46
Diluted Earnings per share,,,
Net income attributable to Accenture plc,"$5,107,839","$ 4,779,112","$4,059,907"
Net income atributable to noncontrolling interests in Accenture Holdings plc and Accenture Canada Holdings Inc.(1),"6,325",6.694,"95,063"
Net income for diluted earnings per share calculation,"$5,114,164","$ 4,785,806","$4,154,970"
Basic weighted average Class Aordinary shares,"636,299,913","638,098,125","628,451,742"
Class A ordinary shares issuable upon redemption/exchange of noncontrolling interests (1),"787,429","892,654","14,716,884"
Diluted effect of employee compensation related to Class Aordinary shares,"10,599,773","11,111,679","11,948,075"
Diluted effect of share purchase plans related to Class Aordinary shares,"109,888","102,415","179,449"
Diluted weighted average Class A ordinary shares,"647,797,003","650,204,873","655,296,150"
Diluted earnings per share,$ 7.89,$ 7.36,$ 6.34
