,2020,2019,2018
NET INCOME,"$5,185,313","$4,846,241","$4,214,594"
"OTHER COMPREHENSIVE INCOME (LOSS), NET OF TAX:",,,
Foreign currency translation,"197,696","(132,707)","(305,225)"
Defined benefit plans,"57,100","(253,039)","21,335"
Cash flow hedges,"24,721","123,003","(198,645)"
Investments,(777),"(1,663)","1,148"
OTHER COMPREHENSIVE INCOME (LOSS) ATTRIBUTABLETO ACCENTURE PLC,"278,740","(264,406)","(481,387)"
Other comprehensive income (loss) atributable to noncontrolling interests,"8,243","(6,749)",(2.233)
COMPREHENSIVE INCOME,"$5,472,296","$4,575,086","$3,730,974"
COMPREHENSIVE INCOME ATTRIBUTABLETO ACCENTURE PLC,"$5,386,579","$4,514,706","$3,578,520"
Comprehensive income attributable to noncontrolling interests,"85,717","60,380","152,454"
COMPREHENSIVE INCOME,"$ 5,472,296","$4,575,086","$3,730,974"
