Fiscal,2020,2019,2018
INDUSTRY GROUPS,,"Communications, Media & Technology","8883173,8757250,8229842"
INDUSTRY GROUPS,,Financial Services,"8518136,8493819,8565695"
INDUSTRY GROUPS,,Health & Public Service,"8022704,7160787,6877779"
INDUSTRY GROUPS,,Products,"12272036,12004934,11337863"
INDUSTRY GROUPS,,Resources,"6611544,6771976,5942012"
INDUSTRY GROUPS,,Other,"19446,26247,39343"
INDUSTRY GROUPS,,Total,"$ 44,327,039,$ 43,215,013 $,40,992,534"
TYPE OF WORK,,Consulting,"$ 24,227,024,$ 24,177,428 $,22,978,798"
TYPE OF WORK,,Outsourcing,"20,100,015,19,037,585,18,013,736"
TYPE OF WORK,,Total,"$ 44,327,039,$ 43,215,013 $,40,992,534"
