Exhibit Number,Exhibit,"Amended and Restated Memorandum and Articles of Association of Accenture plc (incorporated by reference to Exhibit 3.1 to Accenture plc's 8-K filed on February 7, 2018)","Certificate of Incorporation of Accenture plc (incorporated by reference to Exhibit 3.2 to Accenture plc's 8-K12B filed on September 1, 2009 (the 8-K12B""))","Description of Accenture plc's Securities (incorporated by reference to Exhibit 4.1 to Accenture plc's 10-K filed on August 31, 2019 )"
3.1,Exhibit 3.1,"Exhibit 3.1 to Accenture plc's 8-K filed on February 7, 2018","Exhibit 3.2 to Accenture plc's 8-K12B filed on September 1, 2009 (the 8-K12B""))","Exhibit 4.1 to Accenture plc's 10-K filed on August 31, 2019 )"
10.1,"Form of Voting Agreement, dated as of April 18, 2001, among Accenture Ltd and the covered persons party thereto as amended and restated as of February 3, 2005 (incorporated by reference to Exhibit 9.1 to the Accenture Ltd February 28, 2005 10-Q (File No. 001-16565))","Exhibit 9.1 to the Accenture Ltd February 28, 2005 10-Q (File No. 001-16565))",Exhibit 10.4 to the 8-K12B),
10.2,"Assumption Agreement of the Amended and Restated Voting Agreement, dated September 1, 2009 (incorporated by reference to Exhibit 10.4 to the 8-K12B)",Exhibit 10.4 to the 8-K12B),,
10.3*,"Form of Non-Competition Agreement, dated as of April 18, 2001, among Accenture Ltd and certain employees (incorporated by reference to Exhibit 10.2 to the Accenture Ltd Registration Statement on Form S-1 (File No. 333-59194) filed on April 19, 2001)","Exhibit 10.2 to the Accenture Ltd Registration Statement on Form S-1 (File No. 333-59194) filed on April 19, 2001)",,
10.4,"Assumption and General Amendment Agreement between Accenture plc and Accenture Ltd, dated September 1, 2009 (incorporated by reference to Exhibit 10.1 to the 8-K12B)",Exhibit 10.1 to the 8-K12B),,
10.5*,"2001 Share Incentive Plan (incorporated by reference to Exhibit 10.3 to the Accenture Ltd Registration Statement on Form S-1/A (File No. 333-59194) filed on July 12, 2001)","Exhibit 10.3 to the Accenture Ltd Registration Statement on Form S-1/A (File No. 333-59194) filed on July 12, 2001)",,
10.6*,"Amended and Restated Accenture plc 2010 Share Incentive Plan (incorporated by reference to Exhibit 10.1 to Accenture plc's 8-K filed on January 30, 2020)","Exhibit 10.1 to Accenture plc's 8-K filed on January 30, 2020)",,
10.7*,"Amended and Restated 2010 Employee Share Purchase Plan (incorporated by reference to Exhibit 10.2 to Accenture plc's 8-K filed on February 3, 2016)","Exhibit 10.2 to Accenture plc's 8-K filed on February 3, 2016)",,
10.8,"Form of Support Agreement, dated as of May 23, 2001, between Accenture Ltd and Accenture Canada Holdings Inc. (incorporated by reference to Exhibit 10.9 to the Accenture Ltd Registration Statement on Form S-1/A (the July 2","2001 Form S-1/A""))""","Exhibit 10.9 to the Accenture Ltd Registration Statement on Form S-1/A (the July 2,","2001 Form S-1/A""""))"","
10.9,"First Supplemental Agreement to Support Agreement among Accenture plc, Accenture Ltd and Accenture Canada Holdings Inc., dated September 1, 2009 (incorporated by reference to Exhibit 10.2 to the 8-K12B)",Exhibit 10.2 to the 8-K12B),,
10.10*,"Form of Employment Agreement of executive officers in the United States (incorporated by reference to Exhibit 10.3 to the February 28, 2013 10-Q)","Exhibit 10.3 to the February 28, 2013 10-Q)",,
