Part,Item,Description,Page
I,1,Business,2
I,1A,Risk Factors,10
I,1B,Unresolved Staff Comments,24
I,2,Properties,24
I,3,Legal Proceedings,24
I,4,Mine Safety Disclosures,24
II,5,Market for Registrant's Common Equity,"Related Shareholder Matters and Issuer Purchases of Equity Securities,25"
II,6,Selected Financial Data,27
II,7,Management's Discussion and Analysis of Financial Condition and Results of Operations,28
II,7A,Quantitative and Qualitative Disclosures about Market Risk,38
II,8,Financial Statements and Supplementary Data,39
II,9,Changes in and Disagreements With Accountants on Accounting and Financial Disclosure,39
II,9A,Controls and Procedures,39
II,9B,Other Information,40
III,10,Directors,"Executive Officers and Corporate Governance,41"
III,11,Executive Compensation,41
III,12,Security Ownership of Certain Beneficial Owners and Management and Related Shareholder Matters,42
III,13,Certain Relationships and Related Transactions,"and Director Independence,42"
III,14,Principal Accountant Fees and Services,43
IV,15,Exhibits,"Financial Statement Schedules,44"
IV,16,Form 10-K Summary,46
Signatures,Signatures,47,
