,Ordinary Shares,Class A ay,Class A ay,Class X Ordinary Shares,,,,,,,,,,Total
,Ordinary Shares,,shNo,Class X Ordinary Shares,,,Restricted,Additional Paid-in,Treasury Shares,,Accumulated Comprehensive,Total Other Accenture plc Shareholders',Noncontrolling,Total
Cumulative efect adjustment,$,$,,$,,Share Units,Capital,$,No. Shares,"Retained Earnings 2,134,818",Loss,"Equity 2,134,818","Interests 3,158","Shareholders' Equity 2,137,976"
Net income,,,,,,,,,,"4,779,112",,"4,779,112","67,129","4,846,241"
Other comprehensive income,,,,,,,,,,,"(264,406)","(264,406)","(6,749)","(271,155)"
(loss) Purchases of Class A shares,,,,,,,"3,302","(2,669,336)","(16,431)",,,"(2,666,034)","(3,302)","(2,669,336)"
Cancellation of treasury shares,,,"(17,599)",,,,"(326,092)","2,745,321","17,599","(2,419,229)",,,,
Share-based compensation expense,,,,,,"1,023,794","69,459",,,,,"1,093,253",,"1,093,253"
Purchases/redemptions. of Accenture Canada Holdings,,,,,(47),,"(21,768)",,,,,"(21,768)",（10）,"(21,778)"
Inc.exchangeable sharesand ClassXshares,,,,,,,,,,,,,,
Issuances of Class A shares for employeeshareprograms,,,,"9,010",,"(903,526)","1,219,600","652,587","4,160","(121,250)",,"847,411","1,034","848,445"
Dividends,,,,,,"57,012",,,,"(1,918,737)",,"(1,861,725)",(2.628),"(1,864,353)"
"Other, net","Balance as of August 31,2019$ 57",40$15,,"654,739$-",,,"(10,817) 609$1,411,903$ 5,804,448$ (1,388,376)",,"(19,005)$10,421,538","14,411","(1,840,577）$","3,594 14,409,008$","216 418,683 $","3,810 14,827,691"
