,Fiscal,Fiscal,Fiscal
,2020,2019,2018 (1)
INDUSTRY GROUPS,,,
"Communications,Media & Technology","$ 8,883,173","$ 8,757,250 $","8,229,842"
Financial Services,"8,518,136","8,493,819","8,565,695"
Health& Public Service,"8,022,704","7,160,787","6,877,779"
Products,"12,272,036","12,004,934","11,337,863"
Resources,"6,611,544","6,771,976","5,942,012"
Other,"19,446","26,247","39,343"
Total,"$ 44,327,039","$ 43,215,013 $","40,992,534"
TYPE OF WORK,,,
Consulting,"$ 24,227,024","$ 24,177,428 $","22,978,798"
Outsourcing,"20,100,015","19,037,585","18,013,736"
Total,"$ 44,327,039","$ 43,215,013 $","40,992,534"
