Products,Products,Products,Products,Products
"Consumer Goods, Retail & Travel Services Clients Served","Consumer Goods, Retail & Travel Services Clients Served",Industrial Industrial&electrical equipment,Industrial Industrial&electrical equipment,Life Sciences
"Food and beverage,household goods,personal care,tobacco, fashion/apparel,agribusinessand consumer health companies; supermarkets,hardlineretailers,mass-merchandise discounters,department stores and specialty retailers;airlines; and hospitality and travel services companies","Food and beverage,household goods,personal care,tobacco, fashion/apparel,agribusinessand consumer health companies; supermarkets,hardlineretailers,mass-merchandise discounters,department stores and specialty retailers;airlines; and hospitality and travel services companies","Food and beverage,household goods,personal care,tobacco, fashion/apparel,agribusinessand consumer health companies; supermarkets,hardlineretailers,mass-merchandise discounters,department stores and specialty retailers;airlines; and hospitality and travel services companies","Biopharmaceutical,medical manufacturers and suppliers;and technology，andbiotechnology construction,heavy equipment, companies and distributors consumerdurables,engineering services,real estate business services,freight& logistics,and automotive and public transportation companies","Biopharmaceutical,medical manufacturers and suppliers;and technology，andbiotechnology construction,heavy equipment, companies and distributors consumerdurables,engineering services,real estate business services,freight& logistics,and automotive and public transportation companies"
Percent of Group's FY20 Revenue 52%,Percent of Group's FY20 Revenue 52%,25%,25%,24%
Amounts do not total due to rounding.,Amounts do not total due to rounding.,Amounts do not total due to rounding.,Amounts do not total due to rounding.,Amounts do not total due to rounding.
Resources,Resources,Resources,Resources,Resources
Chemicals & Natural Resources Clients Served,"Energy Companies in the oil and gas industry,","Energy Companies in the oil and gas industry,",Utilities,Utilities
"Petrochemicals,specialty chemicals, polymers and plastics, gases and agricultural chemicals companies,as well as themetals,mining,forest products and building materials","including upstream,midstream, downstream,oilfield services,clean energyand energy trading companies","including upstream,midstream, downstream,oilfield services,clean energyand energy trading companies","Electric, gas and water utilities; new energy providers","Electric, gas and water utilities; new energy providers"
industries Percent of Group's FY20 Revenue,,,,
30%,28%,28%,42%,42%
