Balance Sheet,"Balance as of August 31, 2019",Adjustments due to ASU 2016-02 (Topic 842),"Balance as of September 1, 2019"
CURRENT ASSETS,CURRENT ASSETS,CURRENT ASSETS,CURRENT ASSETS
Other current assets $,"1,225,364","(38,666)$","1,186,698"
NON-CURRENT ASSETS,,,
Leaseassets,,"3,169,608","3,169,608"
Other non-current assets,"1,400,292","(10,333)","1,389,959"
CURRENTLIABILITIES,,,
Lease liabilities,,"699,399","699,399"
Other accrued liabilities,,(703),"950,747"
,"951,450",,
NON-CURRENT LIABILITIES,NON-CURRENT LIABILITIES,NON-CURRENT LIABILITIES,NON-CURRENT LIABILITIES
Lease liabilities,,"2,666,344","2,666,344"
Other non-current liabilities,"526,988","(244,431)","282,557"
