exchangeable shares and Class X ordinary shares\tIssuances of Class A ordinary shares:\tEmployee share programs\tUpon redemption of Accenture Holdings plc ordinary shares\tDividends\tOther, net\tBalance as of August 31, 2018
tsv,,
Ordinary Shares,Class A Ordinary Shares,"Class X Ordinary Shares,Restricted Share Units,Additional Paid-in Capital,Treasury Shares,Accumulated Other Comprehensive Loss,Total Accenture plc Shareholders' Equity,Noncontrolling Interests>Total Shareholders' Equity"
$,$,"$,$,$,$,$,$,$,$"
"Balance as of August 31, 2017",57,"40,638,966,20,531,1,095,026,3,516,399,(1,649,090),(23,449),7,081,855,(1,094,784),8,949,477,760,723,9,710,200"
Net income,,"4,059,907,4,059,907,154,687,4,214,594"
Other comprehensive income(loss),,"(481,387),(481,387),(2,233),(483,620)"
Purchases of Class A ordinary,"49,766","(2,554,084),(16,706),(2,504,318),(49,766),(2,554,084)"
Purchases of Class A ordinary shares\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t,,
Issuances of Class A ordinary shares:\tEmployee share programs\t10,077\t(829,"085)\t1,132,024\t504,159\t4,201\t(68,656)\t738,442\t14,704\t753,146"
Issuances of Class A ordinary shares:\tUpon redemption of Accenture Holdings plc ordinary shares\t1\t25,906\t(19,054)\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t
