Fiscal,,,
2020,2019,2018,
Foreign currency translation,,,
Beginning balance,"$ (1,207,975) $","(1,075,268) $","(770,043)"
Foreign currency translation,"207,566","(138,680)","(310,548)"
Income tax benefit (expense),"(1,719)",(607),"3,354"
Portion attributable to noncontrolling interests,"(8,151)","6,580","1,969"
"Foreign currency translation, net of tax","197,696","(132,707)","(305,225)"
Ending balance,"(1,010,279)","(1,207,975)","(1,075,268)"
Defined benefit plans,,,
Beginning balance,"(672,323)","(419,284)","(440,619)"
Actuarial gains (losses),"22,414","(379,090)","19,862"
Pension settlement,"3,757",793,"3,030"
Prior service costs arising during the period,,"(2,105)","(28,696)"
Reclassifications into net periodic pension and post-retirement expense,(1),"55,035","32,985 94,052"
Income tax benefit (expense),"(24,041)","32,985 94,052","34,972"
Portion attributable to noncontrolling interests,(65),326,"(7,799)"
"Defined benefit plans, net of tax","57,100",,(34)
Ending balance,"(615,223)","(253,039)","21,335"
,,"(672,323)","(419,284)"
Cash flow hedges,,,
Beginning balance,"38,993",,
Unrealized gain (loss),"72,437","(84,010)","114,635"
Reclassification adjustments into Cost of services,"(48,545)","209,017","(169,958)"
Income tax benefit (expense),857,"(48,333)","(93,105)"
Portion attributable to noncontrolling interests,(28),"(37,522) (159)","64,118"
"Cash flow hedges, net of tax","24,721","123,003",300
Ending balance,(2),"63,714","(198,645)"
,,"38,993","(84,010)"
Investments,,,
Beginning balance,728,,
Unrealized gain (loss),(778),"2,391 (1,970)","1,243"
Income tax benefit (expense),I,305,"1,455 (305)"
Portion attributable to noncontrolling interests,1,2,
"Investments, net of tax",(777),"(1,663)","(2) 1,148"
Ending balance,(49),728,"2,391"
Accumulated other comprehensive loss,"$ (1,561,837)","$ (1,840,577)$","(1,576,171)"
