in millions of U.S. dollars,Fiscal,2020,2019 (1),Percent Increase (Decrease) U.S. Dollars,Percent Increase Local Currency,Percent of Total Revenues for Fiscal
GEOGRAPHIC MARKETS,North America,"$ 20,982","$ 19,986",5 %,5 %,"47 %,46 %"
GEOGRAPHIC MARKETS,Europe,"14,402","14,696",(2),-,32.34
GEOGRAPHIC MARKETS,Growth Markets,"8,943","8,533",5 %,8 %,20.20
GEOGRAPHIC MARKETS,TOTAL REVENUES,"$ 44,327","$ 43,215",3 %,4 %,"100 %,100 %"
INDUSTRY GROUPS,"Communications, Media & Technology","$ 8,883","$ 8,757",1 %,3 %,"20 %,20 %"
INDUSTRY GROUPS,Financial Services,"8,518","8,494",-,2 %,19.20
INDUSTRY GROUPS,Health & Public Service,"8,023","7,161",12 %,13 %,18.17
INDUSTRY GROUPS,Products,"12,272","12,005",2 %,3 %,28.28
INDUSTRY GROUPS,Resources,"6,612","6,772",(2),-,15.16
INDUSTRY GROUPS,Other,19,26,n/m,n/m,"—,—"
INDUSTRY GROUPS,TOTAL REVENUES,"$ 44,327","$ 43,215",3 %,4 %,"100 %,100 %"
TYPE OF WORK,Consulting,"$ 24,227","$ 24,177",-,2 %,"55 %,56 %"
TYPE OF WORK,Outsourcing,"20,100","19,038",6 %,7 %,45.44
TYPE OF WORK,TOTAL REVENUES,"$ 44,327","$ 43,215",3 %,4 %,"100 %,100 %"
