Refuted Reasons,Prop. (%)
The calculation result is wrong.,41.7
The approximation word is wrong.,33.3
The claim is partially right.,10.0
The values in the claim do not match.,8.3
The operation type is wrong.,6.7
NEI Reasons,Prop. (%)
The claim does not have enough matching evidence.,33.3
The claim lacks open-domain knowledge.,25.0
The claim lacks closed-domain knowledge.,15.0
The claim refers to another table.,11.7
The claim contains vague pronouns.,8.3
The claim omits specific information.,6.7
