"Error case 2 (38.7%): Gold Label: Refuted Prediction Label: NEl Table 3:Precision,recallandF-measure for methods using thetop1,o words with the highest numberof contexts.","Error case 2 (38.7%): Gold Label: Refuted Prediction Label: NEl Table 3:Precision,recallandF-measure for methods using thetop1,o words with the highest numberof contexts.","Error case 2 (38.7%): Gold Label: Refuted Prediction Label: NEl Table 3:Precision,recallandF-measure for methods using thetop1,o words with the highest numberof contexts.","Error case 2 (38.7%): Gold Label: Refuted Prediction Label: NEl Table 3:Precision,recallandF-measure for methods using thetop1,o words with the highest numberof contexts.","Error case 2 (38.7%): Gold Label: Refuted Prediction Label: NEl Table 3:Precision,recallandF-measure for methods using thetop1,o words with the highest numberof contexts.","Error case 2 (38.7%): Gold Label: Refuted Prediction Label: NEl Table 3:Precision,recallandF-measure for methods using thetop1,o words with the highest numberof contexts.","Error case 2 (38.7%): Gold Label: Refuted Prediction Label: NEl Table 3:Precision,recallandF-measure for methods using thetop1,o words with the highest numberof contexts.","Error case 2 (38.7%): Gold Label: Refuted Prediction Label: NEl Table 3:Precision,recallandF-measure for methods using thetop1,o words with the highest numberof contexts.","Error case 2 (38.7%): Gold Label: Refuted Prediction Label: NEl Table 3:Precision,recallandF-measure for methods using thetop1,o words with the highest numberof contexts.","Error case 2 (38.7%): Gold Label: Refuted Prediction Label: NEl Table 3:Precision,recallandF-measure for methods using thetop1,o words with the highest numberof contexts.",,,,,
|Lang,|Lang,|Lang,一 Patt,DSim,SLQS,TF,DF,DocSub,HClust,,,,,
,EN,Corpus Europarl,0.1173,0.0366,0.0503,0.0554,,0.0443,0.0761,,,,,
,EN,Corpus Europarl,0.1173,0.0366,0.0503,0.0554,,0.0443,0.0761,0.0548,,,,
,P,Ted Talks Europarl,0.1125,0.0301,0.0382,0.0425,0.0441,0.0710 0.0664,,,,,,
,P,Ted Talks Europarl,0.1125,0.0301,0.0382,0.0425,0.0441,0.0710 0.0664,,,,,,
,PT,Ted Talks,0.5163 0.5387,0.3330 0.2907,0.5257 0.5300,0.6109 0.6117,0.5984 0.6159,0.7311 0.6533,0.5676 0.5656,,,,,
,PT,Ted Talks,0.5163 0.5387,0.3330 0.2907,0.5257 0.5300,0.6109 0.6117,0.5984 0.6159,0.7311 0.6533,0.5676 0.5656,,,,,
EN R,Europarl Ted Talks,0.0396 0.0018,0.3999 0.4442,0.5499,0.6045,0.5887 0.6077,0.0023,0.0017 0.0019,,,,,,
EN R,Europarl Ted Talks,0.0396 0.0018,0.3999 0.4442,0.5499,0.6045,0.5887 0.6077,0.0023,0.0017 0.0019,,,,,,
PT,Europarl Ted Talks,0.0111,0.3554,0.5377 0.5795,0.5657 0.6727,0.5184,0.2666 0.0053,0.0012,,,,,,
PT,Europarl Ted Talks,0.0111,0.3554,0.5377 0.5795,0.5657 0.6727,0.5184,0.2666 0.0053,0.0012,,0.0004,,,,
EN,Europarl,,0.3142,0.5484,0.6877,0.5515,0.4706,0.0011,,,,,,
EN,Europarl,,0.3142,0.5484,0.6877,0.5515,0.4706,0.0011,0.0591,0.0004,,,,
,Ted Talks,,0.0671 0.0035 0.0564,0.0922 0.0713,0.1015 0.0791,0.1003 0.0822,0.0044 0.1121,0.0033,0.0591,0.0004,,,,
,Ted Talks,,Europarl,0.0217,0.3438,0.6403 0.6475,0.5555,0.0033,0.0591,,,,,
PT,,Ted Talks,Europarl,0.0217,0.3438,0.6403 0.6475,0.5555,0.0008,0.3020 0.5390,,,0.5819,0.5471,
PT,,Ted Talks,,,0.5513,,0.0105,0.0008,0.3020 0.5390,0.0022,,0.5819,0.5471,0.0037 0.0024
