Lang,Corpus,Patt,DSim,SLQS,TF,DF,DocSub,HClust
EN,Europarl,,0.1173,0.0366,0.0503,0.0554,0.0548,0.0761
EN,Ted Talks,,0.1125,0.0301,0.0382,0.0425,0.0441,0.0710
PT,Europarl,,0.5163,0.3330,0.5257,0.6109,0.5984,0.7311
PT,Ted Talks,,0.5387,0.2907,0.5300,0.6117,0.6159,0.6533
EN,Europarl,,0.0396,0.3999,0.5499,0.6045,0.5887,0.0023
EN,Ted Talks,,0.0018,0.4442,0.5377,0.5657,0.6077,0.2666
PT,Europarl Ted Talks,,0.0111 0.0004,0.3554 0.3142,0.5795 0.5484,0.6727 0.6877,0.5184 0.5515,0.0053
PT,Ted Talks,,,,,,,0.4706
EN,Europarl Ted Talks,,0.0591,0.0671,0.0922,0.1015,0.1003,0.0044
EN,Ted Talks,,0.0035,0.0564,0.0713,0.0791,0.0822,0.1121
PT,Europarl Ted Talks,,0.0217 0.0008,0.3438 0.3020,0.5513 0.5390,0.6403 0.6475,0.5555 0.5819,0.0105
PT,Ted Talks,,,,,,,0.5471
