Model,LDC2015E86 BLEU,LDC2015E86 METEOR,LDC2017T10 BLEU,LDC2017T10 METEOR
Konstas et al. (2017),22.00,-,-,-
Song et al. (2018),23.28,30.10,-,-
Cao et al. (2019),23.50,-,-,-
Damonte et al.(2019),24.40,23.60,-,-
Guo et al. (2019),25.70,-,-,-
S2S,22.55 ± 0.17,29.90 ± 0.31,22.73 ± 0.18,30.15 ± 0.14
G2S-GIN,22.93 ± 0.20,29.72 ± 0.09,26.90 ± 0.19,32.62 ± 0.04
G2S-GAT,23.42 ± 0.16,29.87 ± 0.14,26.72 ± 0.20,32.52 ± 0.02
G2S-GGNN,24.32 ± 0.16,30.53 ± 0.30,27.87 ± 0.15,33.21 ± 0.15
Back et al. (2018),23.30,-,-,-
Song et al. (2018),24.86,31.56,-,-
Damonte et al.(2019),24.54,24.07,-,-
Cao et al. (2019),26.80,-,-,-
Guo et al. (2019),27.60,-,-,-
