siareerng gg grogiar,rarnen rnn nng nrirg,ednesnnenrn,()rpresesesisesey,aersperercieraiee,rrrserrnreieeeesgesnsesra,neeieieieleee,errgeeenen,satririnlerei,fare seserorseeet,nrrgiseeerrie iis,rtleln nnleeae,Jrhn on hed getete,Stete ohedetele,reeeeeneeensecnterrrstarlrpgteregereat ea tsetest[rrre
Govt/Jurisdiction,,,,,,,,,,,,,,
Afghanistan,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y
Albania,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
Algeria,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
Antigua andBarbuda,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Argentina,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Armenia,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
Aruba²,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N
Azerbaijan,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Bahamas,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Barbados,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N
Belgium,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Belize,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Benin,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
geaeeeoerrg gg eigiar,rerenen rnnng grer,dnssn,rseeesssesisensses,aerireerercierer,rernreeeseet,neeilegeliee,eeerrgeeenreeeen,seetrriieirilsr,es sesorsget,nriseerrs,relrernrl ng Gnnln nlreaet,Jrtn O Ged ete,Cten oedee,egerrereaeennreenonnseieliees
Govt/Jurisdiction,,,,,,,,,,,,,,
Bolivia,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N
Bosnia & Herzegovina,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
Brazil,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
British VirginIslands3,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Burma,Y,Y,Y,Y,Y,Y*,Y,Y,N,Y,Y,Y,Y,N
Cabo Verde,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
Canada,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
Cayman Islands3,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N
China,Y,Y,Y,Y,Y,Y*,Y,Y,N,Y,Y,Y,Y,N
Colombia,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Costa Rica,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y
Cuba,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
Curacao²,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N
Cyprus4,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
