Govt/Jurisdiction,Criminalized Drug Money Laundering,Know-Your-Customer Provisions,Report Suspicious Transactions (Y/N),Maintain Records Over Time,Cross-Border Transportation of Currency,Financial Intelligence Unit (*)
Afghanistan,Y,Y,Y,Y,Y,Y
Albania,Y,Y,Y,Y,Y,"Y,N,Y,Y,Y,Y,N"
Algeria,Y,Y,Y,Y,Y,"Y,N,Y,Y,Y,Y,N"
Antigua and Barbuda,Y,Y,Y,Y,Y,"Y,Y,Y,Y,Y,N"
Argentina,Y,Y,Y,Y,Y,"Y,Y,Y,Y,Y,Y"
Armenia,Y,Y,Y,Y,Y,"Y,Y,Y,Y,Y,N"
Aruba,Y,Y,Y,Y,Y,"Y,Y,Y,Y,Y,N,N"
Azerbaijan,Y,Y,Y,Y,Y,"Y,Y,Y,Y,Y,N"
Bahamas,Y,Y,Y,Y,Y,"Y,Y,Y,Y,Y,N"
Barbados,Y,Y,Y,Y,Y,"Y,Y,Y,Y,Y,N,N"
Belgium,Y,Y,Y,Y,Y,"Y,Y,Y,Y,Y,N"
Belize,Y,Y,Y,Y,Y,"Y,Y,Y,Y,Y,N"
