Dollars in millions,FISCAL 2021,FISCAL 2020,% CHANGE,% CHANGE EXCLUDING CURRENCY CHANGES,FISCAL 2019,% CHANGE,% CHANGE EXCLUDING CURRENCY CHANGES
"NIKE, Inc. Revenues:",NIKE Brand Revenues by:,Footwear,"$ 28,021","$ 23,305",20 %,"18 % $ 24,222","-4 %,-2 %"
,Apparel,"$ 12,865","$ 10,953",17 %,"15 % $ 11,550",-5 %,-3 %
,Equipment,"$ 1,382","$ 1,280",8 %,"7 % $ 1,404",-9 %,-6 %
,Global Brand Divisions,25,30,-17 %,-17 % $ 42,-29 %,-26 %
,Total NIKE Brand Revenues,"42,293","35,568",19 %,"17 % $ 37,218",-4 %,-2 %
,Converse,"2,205","1,846",19 %,"16 % $ 1,906",-3 %,-1 %
,Corporate,40,(11),—,— $ (7),—,—
,"TOTAL NIKE, INC. REVENUES","$ 44,538","$ 37,403",19 %,"17 % $ 39,117",-4 %,-2 %
Supplemental NIKE Brand Revenues Details:,NIKE Brand Revenues by:,Sales to Wholesale Customers,"$ 25,898","$ 23,156",12 %,"10 % $ 25,423","-9 %,-7 %"
,Sales through NIKE Direct,"16,370","12,382",32 %,"30 % $ 11,753",5 %,8 %
,Global Brand Divisions,25,30,-17 %,-17 % $ 42,-29 %,-26 %
,TOTAL NIKE BRAND REVENUES,"$ 42,293","$ 35,568",19 %,"17 % $ 37,218",-4 %,-2 %
,NIKE Brand Revenues on a Wholesale Equivalent Basis:,Sales to Wholesale Customers,"$ 25,898","$ 23,156",12 %,"10 % $ 25,423","-9 %,-7 %"
,Sales from our Wholesale Operations to NIKE Direct Operations,"9,872","7,452",32 %,"30 % $ 7,127",5 %,7 %
,TOTAL NIKE BRAND WHOLESALE EQUIVALENT REVENUES,"$ 35,770","$ 30,608",17 %,"15 % $ 32,550",-6 %,-4 %
,NIKE Brand Wholesale Equivalent Revenues by:,Men's,"$ 18,883","$ 16,694",13 %,"11 % $ 17,737","-6 %,-4 %"
,Women's,"8,555","6,999",22 %,"20 % $ 7,380",-5 %,-3 %
,NIKE Kids',"5,884","5,033",17 %,"15 % $ 5,283",-5 %,-3 %
,Others,"2,448","1,882",30 %,"26 % $ 2,150",-12 %,-10 %
,TOTAL NIKE BRAND WHOLESALE EQUIVALENT REVENUES,"$ 35,770","$ 30,608",17 %,"15 % $ 32,550",-6 %,-4 %
,NIKE Brand Wholesale Equivalent Revenues by:,Running,"$ 3,987","$ 3,830",4 %,"3 % $ 4,488","-15 %,-12 %"
,NIKE Basketball,"1,692","1,508",12 %,"10 % $ 1,597",-6 %,-4 %
,Jordan Brand,"4,711","3,609",31 %,"28 % $ 3,138",15 %,16 %
,Football (Soccer),"1,682","1,575",7 %,"4 % $ 1,894",-17 %,-14 %
,Training,"2,907","2,688",8 %,"7 % $ 3,137",-14 %,-13 %
,Sportswear,"15,053","12,285",23 %,"20 % $ 12,442",-1 %,1 %
,Others,"5,738","5,113",12 %,"11 % $ 5,854",-13 %,-10 %
,TOTAL NIKE BRAND WHOLESALE EQUIVALENT REVENUES,"$ 35,770","$ 30,608",17 %,"15 % $ 32,550",-6 %,-4 %
