,,,,,"BOOK VALUE OUTSTANDING AS OF MAY 31,","BOOK VALUE OUTSTANDING AS OF MAY 31,"
Scheduled Maturity (Dollarsand Yen in millions),ORIGINAL PRINCIPAL,INTEREST RATE INTERESTPAYMENTS,,,2021,2020
Corporate Term Debt:(1)(2),,,,,,
"May 1,2023",$,500,2.25%,Semi-Annually,$ 499,499
"March 27,2025",,"1,000",2.40%,Semi-Annually,995,994
"November1,2026",,"1,000",2.38%,Semi-Annually,996,995
"March 27,2027",,"1,000",2.75%,Semi-Annually,995,994
"March 27,2030",,"1,500",2.85%,Semi-Annually,"1,490","1,489"
"March 27,2040",,"1,000",3.25%,Semi-Annually,986,985
"May 1,2043",,500,3.63%,Semi-Annually,496,495
"November 1,2045",,"1,000",3.88%,Semi-Annually,984,984
"November 1,2046",,500,3.38%,Semi-Annually,491,491
"March 27,2050",,"1,500",3.38%,Semi-Annually,"1,481","1,480"
Japanese Yen Notes:(3),￥,,,,,
"August 20,2001 through November 20,2020",,"9,000",2.60%,Quarterly,$,$ 2
"August 20,2001 through November 20,2020",,"4,000",2.00%,Quarterly,,1
Total,,,,,"9,413","9,409"
Less current maturities TOTAL LONG-TERM DEBT,,,,,"$ 9,413 $","3 9,406"
