,"EUROPE, ASIA","EUROPE, ASIA","EUROPE, ASIA","EUROPE, ASIA","EUROPE, ASIA","EUROPE, ASIA","EUROPE, ASIA","EUROPE, ASIA","EUROPE, ASIA",
,NORTH AMERICA,MIDDLE EAST&,GREATER,PACIFIC & LATIN AMERICA,GLOBAL BRAND DIVISIONS,TOTAL _NIKE BRAND,CONVERSE,,TOTAL,
(Dollrs in millions) Revenues by:,,,AFRICA,CHINA,,,,,CORPORATE,"NIKE, INC."
Footwear,$,"9,329 $","5,892 $","4,635 $","3,449$",,"23,305 $","1,642 $",,"24,947"
Apparel,,"4,639","3,053","1,896","1,365",,"10,953",89,,"11,042"
Equipment,,516,402,148,214,,"1,280",25,,"1,305"
Other,,,,,,30,30,90,(11),109
TOTAL REVENUES,$,"14,484 $","9,347 $","6,679 $","5,028 $",30$,"35,568 $","1,846 $",(11) $,"37,403"
Revenues by:,,,,,,,,,,
Sales to Wholesale Customers,$,"9,371 $","6,574 $",,,,"23,156 $","1,154$",,
Sales through Direct to Consumer,,"5,113","2,773","3.803 $ 2,876","3,408$ 1,620",,"12,382",602,,"24,310"
Other,,,,,,30,30,90,(11),"12,984"
TOTAL REVENUES,$,"14,484 $","9,347 $","6,679 $","5,028 $",30$,"35,568 $","1,846 $",(11) $,"109 37,403"
