(Dollars in millions),FISCAL 2021,FISCAL 2020,% CHANGE,FISCAL 2019,% CHANGE
North America,"$ 5,089","$ 2,899",76 %,"$ 3,925",-26 %
"Europe, Middle East & Africa","$ 2,435","$ 1,541",58 %,"$ 1,995",-23 %
Greater China,"$ 3,243","$ 2,490",30 %,"$ 2,376",5 %
Asia Pacific & Latin America,"$ 1,530","$ 1,184",29 %,"$ 1,323",-11 %
Global Brand Divisions,"(3,656)","(3,468)",-5 %,"(3,262)",-6 %
TOTAL NIKE BRAND(1),"$ 8,641","$ 4,646",86 %,"$ 6,357",-27 %
Converse,543,297,83 %,303,-2 %
Corporate,"(2,261)","(1,967)",-15 %,"(1,810)",-9 %
"TOTAL NIKE, INC. EARNINGS BEFORE INTEREST AND TAXES(1)","$ 6,923","$ 2,976",133 %,"$ 4,850",-39 %
EBIT margin(1),15.5 %,8.0 %,,12.4 %,
"Interest expense (income), net",262,89,,49,
"TOTAL NIKE, INC. INCOME BEFORE INCOME TAXES","$ 6,661","$ 2,887",131 %,"$ 4,801",-40 %
