,"EUROPE, MIDDLE","EUROPE, MIDDLE","EUROPE, MIDDLE",ASIA PACIFIC& LATIN,GLOBAL DIVISIONS,BRAND,TOTAL CONVERSE,,TOTAL,
(Dollars in millions),NORTH AMERICA,EAST& AFRICA,GREATER CHINA,ASIA PACIFIC& LATIN,GLOBAL DIVISIONS,BRAND,TOTAL CONVERSE,,TOTAL,NIKE BRAND
Revenues by:,,,,AMERICA,,,,CORPORATE,"NIKE, INC.",
Footwear,"$ 10,045 $","6,293 $","4,262 $",3.622 $,,"24,222 $","1,658 $",$,"25,880",
Apparel,"5,260","3,087","1,808","1,395",,"11,550",118,,"11,668",
Equipment,597,432,138,237,,"1,404",24,,"1,428",
Other,,,,,,42,106,（7),141,
TOTAL REVENUES,$,"15,902 $","9,812 $","6,208 $ 5,254 $",,"42$ 37,218 $","1,906 $",,"39,117",
Revenues by:,,,,,,$,,,(7) $,
Sales to Wholesale Customers,$,"10,875 $ 7,076 $","3,726 $","3,746 $",,"25,423 $","1,247 $",$ 一,"26,670",
Sales through Direct to Consumer,"5,027","2,736","2,482","1,508",42,"11,753 42",553,（7),"12,306",
Other,,,,,,,106,,141,
TOTAL REVENUES,$,"15,902 $","9,812 $","6,208 $","5,254 $",42$,"37,218 $","1,906 $","(7)$ 39,117",
