(Dollars in millions),,"MAY 31,","MAY 31,"
,BALANCE SHEET LOCATION,2021,2020
Derivatives formallydesignated as hedging instruments:,,,
Foreign exchange forwards and options,Accrued liabilties $,385,173
Foreign exchange forwards and options,Deferred income taxes and other liabilities,41,17
Total derivatives formally designated as hedging instruments,,426,190
Derivatives not designated as hedging instruments:,,,
Foreign exchange forwards and options,Accrued liabilities,30,15
Embedded derivatives,Accrued liabilities,1,2
Total derivatives not designated as hedging instruments,,31,17
TOTAL DERIVATIVELIABILITIES,,457,207
