,"YEARENDEDMAY31,","YEARENDEDMAY31,","YEARENDEDMAY31,"
,2021,2020,2019
Federal income taxrate,21.0%,21.0%,21.0%
"State taxes, net of federal benefit",1.3 %,0.8%,1.0%
Foreign earnings,0.2 %,5.9%,-1.1%
Foreign-derived intangible income benefit,-3.7 %,-8.1%,1%
Excess tax benefits from share-based compensation,-4.5 %,-7.2%,-3.6%
Income tax audits and contingency reserves,1.5 %,-1.4 %,1.3 %
U.S.research and development tax credit,-0.9 %,-1.8%,-1.0%
"Other, net",-0.9 %,2.9 %,-1.5 %
EFFECTIVE INCOMETAXRATE,14.0 %,12.1 %,16.1%
