Dollars in millions,NORTH AMERICA,"EUROPE, MIDDLE EAST & AFRICA",GREATER CHINA,ASIA PACIFIC & LATIN AMERICA,GLOBAL BRAND DIVISIONS,TOTAL NIKE BRAND,CONVERSE,CORPORATE,"TOTAL NIKE, INC."
Revenues by:,Footwear,"$ 11,644","$ 6,970","$ 5,748","$ 3,659",—,"$ 28,021","$ 1,986","—,$ 30,007"
Apparel,"5,028","3,996","2,347","1,494",—,"12,865",104,—,"12,969"
Equipment,507,490,195,190,—,"1,382",29,—,"1,411"
Other,—,—,—,—,25,25,86,40,151
TOTAL REVENUES,"$ 17,179","$ 11,456","$ 8,290","$ 5,343",$ 25,"$ 42,293","$ 2,205",$ 40,"$ 44,538"
Revenues by:,Sales to Wholesale Customers,"$ 10,186","$ 7,812","$ 4,513","$ 3,387",—,"$ 25,898","$ 1,353","—,$ 27,251"
Sales through Direct to Consumer,"6,993","3,644","3,777","1,956",—,"16,370",766,—,"17,136"
Other,—,—,—,—,25,25,86,40,151
TOTAL REVENUES,"$ 17,179","$ 11,456","$ 8,290","$ 5,343",$ 25,"$ 42,293","$ 2,205",$ 40,"$ 44,538"
