Dollars in millions,FISCAL 2021,FISCAL 2020,% CHANGE,% CHANGE EXCLUDING CURRENCY CHANGES,FISCAL 2019,% CHANGE,% CHANGE EXCLUDING CURRENCY CHANGES
Revenues by:,Footwear,"$ 1,986","$ 1,642",21 %,17 %$,"1,658",-1 %
,Apparel,104,89,17 %,13 %,118,-25 %
,Equipment,29,25,16 %,14 %,24,4 %
,Other(1),86,90,-4 %,-1 %,106,-15 %
TOTAL REVENUES,"$ 2,205","$ 1,846",19 %,16 %$,"$ 1,906",-3 %,-1 %
Revenues by:,Sales to Wholesale Customers,"$ 1,353","$ 1,154",17 %,13 %$,"1,247",-7 %
,Sales through Direct to Consumer,766,602,27 %,24 %,553,9 %
,Other(1),86,90,-4 %,-1 %,106,-15 %
TOTAL REVENUES,"$ 2,205","$ 1,846",19 %,16 %$,"$ 1,906",-3 %,-1 %
EARNINGS BEFORE INTEREST AND TAXES,$ 543,$ 297,83 %,,$ 303,-2 %,
