FOR THE TRAILING FOUR QUARTERS ENDED,"MAY 31, 2021","MAY 31, 2020"
(Dollars in millions),Net income,"Net income,Net income,Net income,Net income,Net income"
,"$ 5,727","$ 2,539,,$ 5,727,$ 2,539,"
"Add: Interest expense (income), net",262,"89,Add: Interest expense (income), net,262,89,Add: Interest expense (income), net"
Add: Income tax expense,934,"348,Add: Income tax expense,934,348,Add: Income tax expense"
Earnings before interest and taxes,"6,923","2,976,Earnings before interest and taxes,6,923,2,976,Earnings before interest and taxes"
,(970),"(352),,(970),(352),"
Earnings before interest and after taxes,"$ 5,953","$ 2,624,Earnings before interest and after taxes,$ 5,953,$ 2,624,Earnings before interest and after taxes"
FOR THE TRAILING FIVE QUARTERS ENDED,"MAY 31, 2021","MAY 31, 2020"
(Dollars in millions),Total debt,"Total debt,Total debt,Total debt,Total debt,Total debt"
,"$ 12,890","$ 8,022,,$ 12,890,$ 8,022,"
Add: Shareholders' equity,"10,523","8,938,Add: Shareholders' equity,10,523,8,938,Add: Shareholders' equity"
Less: Cash and equivalents and Short-term investments,"11,217","4,756,Less: Cash and equivalents and Short-term investments,11,217,4,756,Less: Cash and equivalents and Short-term investments"
Total invested capital,"$ 12,196","$ 12,204,Total invested capital,$ 12,196,$ 12,204,Total invested capital"
RETURN ON INVESTED CAPITAL,48.8 %,"21.5 %,RETURN ON INVESTED CAPITAL,48.8 %,21.5 %,RETURN ON INVESTED CAPITAL"
