(Dollars in millions),FISCAL 2021,FISCAL 2020,% CHANGE,,% CHANGE EXCLUDING CURRENCY CHANGES,FISCAL 2019,% CHANGE EXCLUDING CURRENCY CHANGES
Revenues by:,Footwear,"$ 11,644","$ 9,329",25 %,25 %$,"$ 10,045",-7 %$
,,,,,,"10,045",-7 %
Revenues by:,Apparel,"5,028","4,639",8 %,8 %,"5,260",-12 %
,,,,,,"5,260",-12 %
Revenues by:,Equipment,507,516,-2 %,-2 %,597,-14 %
,,,,,,597,-14 %
TOTAL REVENUES,"$ 17,179","$ 14,484",19 %,19 %$,"$ 15,902",-9 %$,
Revenues by:,,,,,,,
,Sales to Wholesale Customers,"$ 10,186","$ 9,371",9 %,9 %$,"10,875",-14 %$
,,,,,,"10,875",-14 %
Revenues by:,Sales through NIKE Direct,"6,993","5,113",37 %,37 %,"5,027",2 %
TOTAL REVENUES,"$ 17,179","$ 14,484",19 %,19 %$,,-9 %$,
EARNINGS BEFORE INTEREST AND TAXES,"$ 5,089","$ 2,899",76 %,,"$ 3,925",-26 %,
