Dollars in millions,FISCAL 2021,FISCAL 2020,% CHANGE,% CHANGE EXCLUDING CURRENCY CHANGES,FISCAL 2019,% CHANGE,% CHANGE EXCLUDING CURRENCY CHANGES
Revenues by:,Footwear,"$ 3,659","$ 3,449",6 %,8 % $,"3,622","-5 %,0 %"
,,,,,,,
,Apparel,"1,494","1,365",9 %,10 %,"1,395","-2 %,3 %"
,,,,,,,
,Equipment,190,214,-11 %,-9 %,237,"-10 %,-4 %"
TOTAL REVENUES,,"$ 5,343","$ 5,028",6 %,8 % $,"5,254","-4 %,1 %"
Revenues by:,,Sales to Wholesale Customers,"$ 3,387","$ 3,408",-1 %,2 % $,"3,746"
,,,,,,,
,,Sales through NIKE Direct,"1,956","1,620",21 %,22 %,"1,508"
TOTAL REVENUES,,"$ 5,343","$ 5,028",6 %,8 % $,"5,254","-4 %,1 %"
EARNINGS BEFORE INTEREST AND TAXES,,"$ 1,530","$ 1,184",29 %,,"$ 1,323",-11 %
