YEARENDEDMAY31， (Dollars in milions),YEARENDEDMAY31， (Dollars in milions),YEARENDEDMAY31， (Dollars in milions),2019
REVENUES,2021 $,2020,2019
North America,"17,179 $","14,484 $","15,902"
"Europe, Middle East& Africa","11,456","9,347","9,812"
Greater China,"8,290",6.679,6.208
Asia Pacific & Latin America,"5,343","5,028","5,254"
Global Brand Divisions,,,42
,25,30,
Total NIKE Brand,"42,293","35,568","37,218"
Converse Corporate,"2,205","1,846","1,906"
"TOTAL NIKE, INC. REVENUES",40,(11),（7)
$ EARNINGS BEFORE INTEREST AND TAXES,"44,538 $","37,403 $","39,117"
North America,"5,089 $",2.899 $,"3,925"
"Europe, Middle East & Africa","2,435","1,541","1,995"
Greater China,"3,243","2,490",2.376
Asia Pacific & Latin America,"1,530","1,184","1,323"
Global Brand Divisions,"(3,656)","(3,468)","(3,262)"
Converse,543,297,303
Corporate,"(2,261)","(1,967)","(1,810)"
"Interest expense (income), net",262,89,49
"TOTAL NIKE, INC. INCOME BEFORE INCOME TAXES","$ 6,661 $","2,887 $","4,801"
"ADDITIONS TO PROPERTY,PLANT AND EQUIPMENT",,,
North America,98 $,110 $,117
"Europe, Middle East & Africa",$ 153,139,233
Greater China,94,28,49
Asia Pacific & Latin America Global Brand Divisions,54,41,47
,278,438,278
Total NIKE Brand,677,756,724
Converse Corporate,7,12,18
"TOTAL ADDITIONS TO PROPERTY, PLANT AND EQUIPMENT",107,356,333
DEPRECIATION,$ 791 $,"1,124 $","1,075"
North America,,,
"Europe,Middle East& Africa",130 $,148$,149
Greater China,136,132,111
Asia Pacific & Latin America,46,44,50
Global Brand Divisions,43 222,46,53
Total NIKE Brand,,214,195
Converse,577 26,584,558
Corporate,141,25 112,31 116
TOTAL DEPRECIATION,744 $,,
,$,721 $,705
