Apparel,"1,896",24,%,19,%,"1,808",5,%,8,%
(Dollars in millions)\tFISCAL 2021\tFISCAL 2020\t% CHANGE\t% CHANGE EXCLUDING CURRENCY CHANGES\tFISCAL 2019\t% CHANGE\t% CHANGE EXCLUDING CURRENCY CHANGES,,,,,,,,,,
Revenues by:\tFootwear\t$5,748\t$4,635\t24 %\t19 %\t$4,262\t9 %\t12 %,,,,,,,
Revenues by:\tApparel\t2,347\t1,896\t24 %\t19 %\t1,808\t5 %\t8 %,,,,,,,
Revenues by:\tEquipment\t195\t148\t32 %\t26 %\t138\t7 %\t11 %,,,,,,,,,,
TOTAL REVENUES\t$8,290\t$6,679\t24 %\t19 %\t$6,308\t9 %\t11 %,,,,,,,
Equipment,148,32,%,26,%,138,7,%,11,%
TOTAL REVENUES,$,"8,290",$,"6,679",24,%,19,%,$,"6,208,8,%,11,%"
Revenues by:,Sales to Wholesale Customers,$,"4,513",$,"3,803",19,%,14,%,"Sales through NIKE Direct,$,3,777,$,2,876,31,%,26,%,$,2,482,2,%,6,%,16,%,20,%"
EARNINGS BEFORE INTEREST AND TAXES,$,"3,243",$,"2,490",30,%,$,"2,376",5,%
