,AMOUNTOFGAIN(LOSS) RECLASSIFIEDFROMACCUMULATED OTHERCOMPREHENSIVEINCOME (LOSS)INTOINCOME,AMOUNTOFGAIN(LOSS) RECLASSIFIEDFROMACCUMULATED OTHERCOMPREHENSIVEINCOME (LOSS)INTOINCOME,LOCATION OF GAIN (LOSS) RECLASSIFIEDFROMACCUMULATED
,"YEAR ENDED MAY 31,","YEAR ENDED MAY 31,",LOCATION OF GAIN (LOSS) RECLASSIFIEDFROMACCUMULATED
(Dollars in millions),2021,2020,OTHERCOMPREHENSIVEINCOME (LOSS) INTO INCOME
Gains (losses) on foreign currency translation adjustment $,3$,(1),"Other (income) expense, net"
Total before tax,3,(1),
Tax (expense) benefit,,,
Gain (loss) net of tax,3,(1),
Gains (losses) on cash flow hedges:,,,
Foreign exchange forwards and options,45,(17),Revenues
Foreign exchange forwards and options,51,364,Cost of sales
Foreign exchange forwards and options,3,(2),Demand creation expense
Foreign exchange forwards and options,(47),181,"Other (income)expense, net"
Interest rate swaps,(7),（7),"Interest expense (income), net"
Total before tax,45,519,
Tax (expense) benefit,(8),(2),
Gain (loss) net of tax,37,517,
Gains (losses) on other,(13),1,"Other (income) expense, net"
Total before tax,(13),1,
Tax (expense) benefit,二,,
Gain (loss) net of tax,(13),1,
Total net gain (loss) reclassified for the period,27 $,517,
