FOR THE TRAILING FOUR QUARTERS ENDED,"MAY 31, 2021","MAY 31, 2020"
(Dollars in millions),Net income,Net income
,"$ 5,727","$ 2,539"
"Add: Interest expense (income), net",262,89
Add: Income tax expense,934,348
Earnings before interest and taxes,"6,923","2,976"
(970),(352),
Earnings before interest and after taxes,"$ 5,953","$ 2,624"
FOR THE TRAILING FIVE QUARTERS ENDED,,
(Dollars in millions),Total debt,Total debt
,"$ 12,890","$ 8,022"
Add: Shareholders' equity,"10,523","8,938"
Less: Cash and equivalents and Short-term investments,"11,217","4,756"
Total invested capital,"$ 12,196","$ 12,204"
RETURN ON INVESTED CAPITAL,48.8 %,21.5 %
