"(In millions, except per share data)",SHARES,AMOUNT,SHARES,AMOUNT,CAPITAL IN EXCESS OF STATED VALUE,ACCUMULATED OTHER COMPREHENSIVE INCOME (LOSS),RETAINED EARNINGS (DEFICIT),TOTAL
"Balance at May 31, 2018",329,,"1,272",,"6,384",(92),"3,517","9,812"
Stock options exercised,,,"18,539",,,,,
Conversion to Class B Common Stock,,-14,14,,,,,
Repurchase of Class B Common Stock,,-54,-227,"-4,056","-4,283",,,
Dividends on common stock ($0.86 per share) and preferred stock ($0.10 per share),,"-1,360","-1,360",,,,,
"Issuance of shares to employees, net of shares withheld for employee taxes",3,142,,(3),139,,,
Stock-based compensation,,,,,325,,,
Net income,,,,,,"4,029","4,029",
Other comprehensive income (loss),,,,,,323,,
Adoption of ASU 2016-16 (Note 1),,-507,-507,,,,,
Adoption of ASC Topic 606 (Note 1),,23,23,,,,,
"Balance at May 31, 2019",315,,"1,253",,"7,163",231,"1,643","9,040"
Stock options exercised,,,"20,703",703,,,,
Repurchase of Class B Common Stock,,-34,-161,"-2,872","-3,033",,,
Dividends on common stock ($0.955 per share) and preferred stock ($0.10 per share),,"-1,491","-1,491",,,,,
"Issuance of shares to employees, net of shares withheld for employee taxes",4,165,,(9),156,,,
Stock-based compensation,,,,,429,,,
Net income,,,,,,"2,539","2,539",
Other comprehensive income (loss),,,,,,-287,,
Adoption of ASC Topic 842 (Note 1),,-1,-1,,,,,
"Balance at May 31, 2020",315,,"1,243",,"8,299",(56),-191,"8,055"
Stock options exercised,,,"21,954",954,,,,
Conversion to Class B Common Stock,,-10,10,,,,,
Repurchase of Class B Common Stock,,-5,-28,-622,-650,,,
Dividends on common stock ($1.070 per share) and preferred stock ($0.10 per share),,"-1,692","-1,692",,,,,
"Issuance of shares to employees, net of shares withheld for employee taxes",4,129,,(43),86,,,
Stock-based compensation,,,,,611,,,
Net income,,,,,,"5,727","5,727",
Other comprehensive income (loss),,,,,,-324,,
"Balance at May 31, 2021",305,,"1,273",,"9,965",(380),"3,179","12,767"
