YEAR ENDED MAY 31, (Dollars in millions),2021,2020,2019
REVENUES,,North America,"17,179","14,484,15,902"
REVENUES,,"Europe, Middle East & Africa","11,456","9,347,9,812"
REVENUES,,Greater China,"8,290","6,679,6,208"
REVENUES,,Asia Pacific & Latin America,"5,343","5,028,5,254"
REVENUES,,Global Brand Divisions,25,"30,42"
REVENUES,,Total NIKE Brand,"42,293","35,568,37,218"
REVENUES,,Converse,"2,205","1,846,1,906"
REVENUES,,Corporate,40,"(11),(7)"
REVENUES,,"TOTAL NIKE, INC. REVENUES","$ 44,538","$ 37,403,$ 39,117"
EARNINGS BEFORE INTEREST AND TAXES,,North America,"$ 5,089","$ 2,899,$ 3,925"
EARNINGS BEFORE INTEREST AND TAXES,,"Europe, Middle East & Africa","2,435","1,541,1,995"
EARNINGS BEFORE INTEREST AND TAXES,,Greater China,"3,243","2,490,2,376"
EARNINGS BEFORE INTEREST AND TAXES,,Asia Pacific & Latin America,"1,530","1,184,1,323"
EARNINGS BEFORE INTEREST AND TAXES,,Global Brand Divisions,"(3,656)","(3,468),(3,262)"
EARNINGS BEFORE INTEREST AND TAXES,,Converse,543,"297,303"
EARNINGS BEFORE INTEREST AND TAXES,,Corporate,"(2,261)","(1,967),(1,810)"
EARNINGS BEFORE INTEREST AND TAXES,,"Interest expense (income), net",262,"89,49"
EARNINGS BEFORE INTEREST AND TAXES,,"TOTAL NIKE, INC. INCOME BEFORE INCOME TAXES","$ 6,661","$ 2,887,$ 4,801"
ADDITIONS TO PROPERTY, PLANT AND EQUIPMENT,,North America,"$ 98,$ 110,$ 117"
ADDITIONS TO PROPERTY, PLANT AND EQUIPMENT,,"Europe, Middle East & Africa","153,139,233"
ADDITIONS TO PROPERTY, PLANT AND EQUIPMENT,,Greater China,"94,28,49"
ADDITIONS TO PROPERTY, PLANT AND EQUIPMENT,,Asia Pacific & Latin America,"54,41,47"
ADDITIONS TO PROPERTY, PLANT AND EQUIPMENT,,Global Brand Divisions,"278,438,278"
ADDITIONS TO PROPERTY, PLANT AND EQUIPMENT,,Total NIKE Brand,"677,756,724"
ADDITIONS TO PROPERTY, PLANT AND EQUIPMENT,,Converse,"7,12,18"
ADDITIONS TO PROPERTY, PLANT AND EQUIPMENT,,Corporate,"107,356,333"
ADDITIONS TO PROPERTY, PLANT AND EQUIPMENT,,"TOTAL ADDITIONS TO PROPERTY, PLANT AND EQUIPMENT","$ 791,$ 1,124,$ 1,075"
DEPRECIATION,,North America,$ 130,"$ 148,$ 149"
DEPRECIATION,,"Europe, Middle East & Africa",136,"132,111"
DEPRECIATION,,Greater China,46,"44,50"
DEPRECIATION,,Asia Pacific & Latin America,43,"46,53"
DEPRECIATION,,Global Brand Divisions,222,"214,195"
DEPRECIATION,,Total NIKE Brand,577,"584,558"
DEPRECIATION,,Converse,26,"25,31"
DEPRECIATION,,Corporate,141,"112,116"
DEPRECIATION,,TOTAL DEPRECIATION,$ 744,"$ 721,$ 705"
