(Dollars in millions),FISCAL 2021,FISCAL 2020,% CHANGE,% CHANGE EXCLUDING CURRENCY CHANGES(1),,FISCAL 2019,% CHANGE,,% CHANGE EXCLUDING CURRENCY CHANGES(1),
"NIKE, Inc. Revenues: NIKE Brand Revenues by:",,,,,,,,,,
Footwear,"$ 28,021 $","23,305",20%,,18,"%$ 24,222",,-4%,,-2 %
Apparel,"12,865","10,953",17%,,15 %,"11,550",,-5%,,-3 %
Equipment,"1,382","1,280",8%,,7 %,"1,404",,-9%,,-6 %
Global Brand Divisions(2),25,30,-17%,,-17 %,,42,-29%,,-26%
Total NIKE Brand Revenues,"42,293","35,568",19%,,17%,"37,218",,-4%,,-2 %
Converse,2.205,"1,846",19%,,%,,"1,906",,,
Corporate(3),40,(11),,,,,(7),-3%,,-1 %
"TOTAL NIKE, INC. REVENUES","$44,538 $","37,403",19%,,17%$,"39,117",,-4%,,-2%
Supplemental NIKE Brand Revenues Details:,,,,,,,,,,
NIKE Brand Revenues by:,,,,,,,,,,
Sales to Wholesale Customers,"25,898 $","23,156",12%,,10,"%$ 25,423",,-9%,,-7 %
Sales through NIKE Direct Global Brand Divisions(2),"16,370","12,382",32%,,30,"% 11,753",,5%,,8 %
TOTAL NIKE BRAND REVENUES,"25 42,293 $","30 35,568",-17% 19%,,-17 17%$,"37,218",42,-29% -4 %,,-26% -2 %
NIKE Brand Revenues on a Wholesale Equivalent Basis:(1),,,,,,,,,,
Sales to Wholesale Customers Sales from our Wholesale Operations to NIKE Direct,"25,898 $","23,156",12%,,10,"%$ 25,423",,-9%,,-7 %
Operations TOTAL NIKE BRAND WHOLESALE EQUIVALENT,9.872,"7,452",32%,,30%,"7,127",,5%,,7 %
REVENUES,"35,770 $","30,608",17%,,15,"%$ 32,550",,-6%,,-4 %
NIKE Brand Wholesale Equivalent Revenues by:(1) Men's,,,,,,,,,,
Women's,"$ 18,883 $","16,694",13%,,11 20,"%$ 17,737",,-6%,,-4 % -3 %
NIKE Kids',"8,555 5,884","6,999 5,033",22% 17%,,% 15%,"7,380 5,283",,-5% -5%,,-3 %
Others(4),2.448,"1,882",30%,,26%,"2,150",,-12%,,-10 %
TOTAL NIKE BRAND WHOLESALE EQUIVALENT REVENUES,,,,,,,,,,
NIKE Brand Wholesale Equivalent Revenues by:(1),"35,770 $","30,608",17%,,15%$,"32,550",,-6%,,-4 %
Running,,,,,3,%$,,,,
,"3,987 $","3,830",4%,,10,"4,488",,-15%,,-12 %
NIKE Basketball,"1,692","1,508",12%,,%,"1,597",,-6%,,-4 %
Jordan Brand,"4,711","3,609",31%,,28 %,"3,138",,15%,,16 %
Football (Soccer),"1,682","1,575",7%,,4 %,"1,894",,-17%,-14,%
Training,2.907,"2,688",8%,,7 % %,"3,137",,-14%,-13,%
Sportswear Others(5),"15,053","12,285",23%,,20,12.442,,-1%,,1 %
TOTAL NIKE BRAND WHOLESALE EQUIVALENT REVENUES,"5,738","5,113",12% 17%,,11 15%$,%,5.854,-13% -6%,-10,%
