,,,,,_% CHANGE EXCLUDING,_% CHANGE EXCLUDING,_% CHANGE EXCLUDING
bllars in millions),,FISCAL 2021 FISCAL 2020,,% CHANGE,CURRENCY CHANGESFISCAL2019,% CHANGE,EXCLUDING CURRENCY CHANGES(1)
rth America,$,"17,1789","14,484",19%,19%,"15,902",-9% -9%
"ope, Middle East & Africa",,"11,456 9,347",23%,17%,"9,812",-5%,-1%
sater China,,"8,290 6,679",24%,19%,"6,208",8%,11%
a Pacific & Latin America(2),,"5,343 5,028",6%,8%,"5,254",-4%,1%
bal Brand Divisions(3),,25 30,-17%,-17%,42,-29%,-26%
TAL NIKE BRAND,,"42,293 35,568",,17%,"37,218",-4%,-2%
nverse,,"2,205","1,846",19% 19%,"16% 1,906",-3%,-1%
rporate(4),,40,(11),1,(7),一,1
"TAL NIKE, INC. REVENUES",$,"44,538","37,403",19%,"1$% 39,117",-4%,-2%
