Scheduled Maturity (Dollars and Yen in millions),ORIGINAL PRINCIPAL,INTEREST RATE,INTEREST PAYMENTS,"BOOK VALUE OUTSTANDING AS OF MAY 31,2021","BOOK VALUE OUTSTANDING AS OF MAY 31,2020"
Corporate Term Debt:(1)(2),,,Semi-Annually,$,
"May 1, 2023",500,2.25 %,Semi-Annually,$499,499
"March 27, 2025","1,000",2.40 %,Semi-Annually,"995,$",994
"November 1, 2026","1,000",2.38 %,Semi-Annually,"996,$",995
"March 27, 2027","1,000",2.75 %,Semi-Annually,"995,$",994
"March 27, 2030","1,500",2.85 %,Semi-Annually,"1,490,$","1,489"
"March 27, 2040","1,000",3.25 %,Semi-Annually,"986,$",985
"May 1, 2043",500,3.63 %,Semi-Annually,$496,495
"November 1, 2045","1,000",3.88 %,Semi-Annually,"984,$",984
"November 1, 2046",500,3.38 %,Semi-Annually,$491,491
"March 27, 2050","1,500",3.38 %,Semi-Annually,"1,481,$","1,480"
Japanese Yen Notes:(3),,,Quarterly,$,
"August 20, 2001 through November 20, 2020","9,000",2.60 %,"Quarterly,2,$,2",$$,2
"August 20, 2001 through November 20, 2020","4,000",2.00 %,"Quarterly,1,$,1",,1
Total,,,,"9,413","9,409"
Less current maturities,,,,"3,",
TOTAL LONG-TERM DEBT,$,"9,413",$,"9,406",
