PART I,,PAGE 1
ITEM 1.,Business,1
,General,1
,Products,
,Sales and Marketing,2
,United States Market,2
,International Markets,3
,Significant Customer,3
,"Product Research, Design and Development",3
,Manufacturing,3
,International Operations and Trade,4
,Competition,5
,Trademarks and Patents,5
,Human Capital Resources,5
,Information about our Executive Officers,9
ITEM 1A.,Risk Factors,10
ITEM 1B.,Unresolved Staff Comments,24
ITEM 2.,Properties,24
ITEM 3.,Legal Proceedings,24
ITEM 4.,Mine Safety Disclosures,24
PART II,,25
ITEM 5.,"Market for Registrant's Common Equity,Related Stockholder Maters and ssuer Purchases of Equity Securities",25
ITEM 6.,Selected Financial Data,27
ITEM 7.,Management's Discussion and Analysis of Financial Condition and Results of Operations,28
ITEM 7A.,Quantitative and Qualitative Disclosures about Market Risk,51
ITEM 8.,Financial Statements and Supplementary Data,53
ITEM 9. ITEM 9A.,Changes in and Disagreements with Accountants on Accounting and Financial Disclosure,94
ITEM 9B.,Controls and Procedures,94
PART III,Other Information,94
,(ExceptfortifoatiortefoaioabotorEecuticsiartlsoatedecro,95
ITEM 10.,"theProxy Statement for the NiKE,Inc.2021 Annual Meeting of Shareholders.) Directors,Executive Officers and Corporate Governance",
ITEM 11.,Executive Compensation,95 95
ITEM 12.,Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters,95
ITEM 13.,Certain Relationships and Related Transactions and Director Independence,95
ITEM 14.,Principal Accountant Fees and Services,95
PART IV,,96
ITEM 15.,Exhibits and Financial Statement Schedules,
ITEM 16.,Form 10-K Summary,96 100
,Signatures,102
