,AMOUNTOFGAIN (LOSS) RECOGNIZED IN OTHER COMPREHENSIVEINCOME (LOSS) ONDERIVATIVES(1),AMOUNTOFGAIN (LOSS) RECOGNIZED IN OTHER COMPREHENSIVEINCOME (LOSS) ONDERIVATIVES(1),AMOUNTOFGAIN (LOSS) RECOGNIZED IN OTHER COMPREHENSIVEINCOME (LOSS) ONDERIVATIVES(1),AMOUNT OF GAIN (LOSS) RECLASSIFIEDFROMACCUMULATED OTHERCOMPREHENSIVE INCOME(LOSS) INTO INCOME(1),AMOUNT OF GAIN (LOSS) RECLASSIFIEDFROMACCUMULATED OTHERCOMPREHENSIVE INCOME(LOSS) INTO INCOME(1),AMOUNT OF GAIN (LOSS) RECLASSIFIEDFROMACCUMULATED OTHERCOMPREHENSIVE INCOME(LOSS) INTO INCOME(1),AMOUNT OF GAIN (LOSS) RECLASSIFIEDFROMACCUMULATED OTHERCOMPREHENSIVE INCOME(LOSS) INTO INCOME(1),AMOUNT OF GAIN (LOSS) RECLASSIFIEDFROMACCUMULATED OTHERCOMPREHENSIVE INCOME(LOSS) INTO INCOME(1)
,"YEAR ENDED MAY 31,","YEAR ENDED MAY 31,","YEAR ENDED MAY 31,","LOCATION OF GAIN (LOSS) YEAR ENDED MAY31, RECLASSIFIEDFROMACCUMULATED","LOCATION OF GAIN (LOSS) YEAR ENDED MAY31, RECLASSIFIEDFROMACCUMULATED","LOCATION OF GAIN (LOSS) YEAR ENDED MAY31, RECLASSIFIEDFROMACCUMULATED","LOCATION OF GAIN (LOSS) YEAR ENDED MAY31, RECLASSIFIEDFROMACCUMULATED","LOCATION OF GAIN (LOSS) YEAR ENDED MAY31, RECLASSIFIEDFROMACCUMULATED"
(Dollars in millions),2021,2020,2019,OTHERCOMPREHENSIVEINCOME (LOSS) INTO INCOME,2021,2020,,2019
Derivatives designated as cash flow hedges:,,,,,,,,
Foreign exchange forwards and options,$ (61) $,28$,14,,Revenues,45 $,(17)$,(5)
Foreign exchange forwards and options,(563),283,405,,Cost of sales,51,364,53
Foreign exchange forwards and options,5,1,2,,Demand creation expense,3,(2),1
Foreign exchange forwards and options,(163),90,156,,"Other (income) expense, net",(47),181,35
Interest rate swaps(2),,,,,"Interest expense (income), net",(7),（7),(7)
Total designated cash flowhedges,$ (782) $,402 $,577,,$,45 $,519 $,76
