(Dollars in millions),"AS OF MAY 31,","AS OF MAY 31,"
(Dollars in millions),2021,2020
"ACCOUNTS RECEIVABLE, NET North America","1,777 $","1,020"
"Europe,Middle East& Africa","1,349",712
,288,
Greater China,,321
Asia Pacific & Latin America(1),643,425
Global Brand Divisions,128,65
Total NIKE Brand,"4,185","2,543"
Converse Corporate,225 53,149
"TOTAL ACCOUNTS RECEIVABLE, NET",$,57
INVENTORIES,"4,463 $","2,749"
North America,"2,851 $","3,077"
"Europe,Middle East& Africa","$ 1,821","2,070"
Greater China,"1,247",882
Asia Pacific & Latin America(1),,770
Global Brand Divisions,667,137
Total NIKE Brand,"153 6,739","6,936"
Converse,290,341
Corporate,(175),90
TOTAL INVENTORIES,"$ 6,854 $","7,367"
"PROPERTY, PANT AND EQUIPMENT,NET",,
North America,$ 617 $,645
"Europe, Middle East & Africa",982,885
Greater China,288 304,214
Asia Pacific & Latin America(1),,296
Global Brand Divisions,780,830
Total NIKE Brand,2.971,"2,870"
Converse,63,80
Corporate,"1,870","1,916"
"TOTAL PROPERTY,PLANT AND EQUIPMENT,NET","$ 4,904 $","4,866"
