Apparel,"1,896",24%,19%,"1,808",5%,8%
(Dollars in millions) FISCAL 2021 FISCAL 2020 % CHANGE % CHANGE EXCLUDING CURRENCY CHANGES FISCAL 2019 % CHANGE % CHANGE EXCLUDING CURRENCY CHANGES,,,,,,
Revenues by: Footwear,"$5,748","$4,635",24%,19%,"$4,262",9%
Revenues by: Apparel,"2,347","1,896",24%,19%,"1,808",5%
Revenues by: Equipment,195,148,32%,26%,138,7%
TOTAL REVENUES,"$8,290","$6,679",24%,19%,"$6,208",8%
Equipment,148,32%,26%,,138,7%
TOTAL REVENUES,$,"8,290$","6,679",24%,19%,%$
Revenues by:,Sales to Wholesale Customers,$,"4,513$","3,803",19%,14%
EARNINGS BEFORE INTEREST AND TAXES,$,"3,243$","2,490",30%,,$
