,COMMON STOCK,COMMON STOCK,COMMON STOCK,COMMON STOCK,CAPITAL IN EXCESS,ACCUMULATED COMPREHENSIVE,ACCUMULATED COMPREHENSIVE,ACCUMULATED COMPREHENSIVE,ACCUMULATED COMPREHENSIVE
,CLASS A,CLASS A,CLASS B,CLASS B,CAPITAL IN EXCESS,OF STATED,OTHER RETAINED EARNINGS,,
,SHARES,AMOUNT,SHARES,AMOUNT,CAPITAL IN EXCESS,OF STATED,OTHER RETAINED EARNINGS,,
"(In millions, except per share data) Balance at May 31, 2018",329 $,,"1,272 $",3$,"VALUE 6,384 $",INCOME(LOSS),"(DEFICIT) (92) $ 3,517 $",TOTAL,
Stock options exercised,,,18,,539,,,"9,812 539",
Conversion to Class B Common Stock,,(14),14,,,,,1,
Repurchase of Class B Common Stock,,,(54),,(227),,"(4,056)","(4,283)",
Dividends on common stock ($0.86 per share) and preferred stock ($0.10 per share),,,,,,,"(1,360)","(1,360)",
"Issuance of shares to employees, net of shares withheldforemployeetaxes",,,3,,142,,(3),139,
Stock-based compensation,,,,,325,,,325,
Net income,,,,,,,"4,029","4,029",
Other comprehensive income (loss),,,,,,323,,323,
Adoption of ASU 2016-16 (Note 1),,,,,,,(507),(507),
Adoption of ASC Topic 606 (Note 1),,,,,,,23,23,
"Balance at May 31,2019 Stock options exercised",315$,,"1,253 $ 20",3$,"7,163 $ 703",231 $,"1,643 $","9,040",
Repurchase of Class B Common Stock,,,(34),,(161),,(2.872),"703 (3,033)",
Dividends on common stock ($0.955 per share),,,,,,,,,
"and preferred stock ($0.10 per share) Issuance of shares to employees,net of shares",,,,,,,"(1,491)","(1,491)",
withheld foremployee taxes Stock-based compensation,,,4,,165,,（9),156,
Net income,,,,,429,,,429,
Other comprehensive income (loss),,,,,,(287),2.539,"2,539",
Adoption of ASC Topic 842 (Note 1),,,,,,,(1),(287),
"Balance at May 31, 2020",315$,,"1,243 $",3$,"8,299 $",(56) $,(191) $,"1) 8,055",
Stock options exercised,,,21,,954,,,954,
Conversion to Class B Common Stock,(10),,10,,,,,1,
Repurchase of Class B Common Stock,,,(5),,(28),,(622),(650),
Dividends on common stock ($1.070 per share) and preferred stock ($0.10 per share),,,,,,,"(1,692)","(1,692)",
"Issuance of shares to employees, net of shares",,,,,,,,,
withheld for employee taxes Stock-based compensation,,,4,,129 611,,(43),86,
Net income,,,,,,,,"611 5,727",
,,,,,,,"5,727",,
Other comprehensive income (loss),,,,,,(324),,(324),
"Balance at May 31,2021",305 $,,"1,273 $",3$,"9,965 $",(380) $,,"12,767",
,,,,,,,"3,179 $",,
