,,,,,%CHANGE EXCLUDING,%CHANGE EXCLUDING,%CHANGE EXCLUDING,%CHANGE EXCLUDING,%CHANGE EXCLUDING
(Dollars in millions),FISCAL 2021,FISCAL 2020,,% CHANGE,CURRENCY CHANGES,FISCAL 2019,,% CHANGE,EXCLUDING CURRENCY CHANGES
Revenues by:,,,,,,,,,
Footwear,"$ 5,748",$,"4,635",24 %,19,%$,"4,262",9%,12 %
Apparel,"2,347",,"1,896",24%,19,%,"1,808",5%,8 %
Equipment,,195,148,32%,26,%,138,7%,11 %
TOTAL REVENUES,$,"8,290 $","6,679",24%,19,%$,"6,208",8%,11 %
Revenues by:,,,,,,,,,
Sales to Wholesale Customers,$,"4,513 $","3,803",19%,14,%$,"3,726",2%,6 %
Sales through NIKE Direct,"3,777",2.876,,31%,26,%,"2,482",16%,20 %
TOTAL REVENUES,$,"8,290 $","6,679",24%,19,%$,"6,208",8%,11 %
EARNINGS BEFORE INTEREST AND TAXES,$,"3,243 $","2,490",30 %,,$,"2,376",5 %,
