Type of Facilities,,Location
Postal,SAM(Self-Service Automated Machine),"· North Spine Plaza, Level 2·South Spine, Level B3"
Postal,7-Eleven @ Hall 2,"Near 7-Eleven, next to Canteen 2"
Postal,POPstation,"· North Spine Plaza, Level2·South Spine·TheQuad"
Bank /ATM (Automated TellerMachine),OCBC Bank (NTU Branch),"North Spine Plaza, Level 1"
Bank /ATM (Automated TellerMachine),OCBC ATM,"· North Spine Plaza, Level 1 (near OCBC Bank)· South Spine, Level B3· Near Canteen 2"
Bank /ATM (Automated TellerMachine),POSB ATM,"· North Spine Plaza, Level 2·South Spine, Level B3·Near Canteen 2"
Bank /ATM (Automated TellerMachine),State Bank of India ATM,"North Spine Plaza, Level 2"
Bank /ATM (Automated TellerMachine),UOB ATM,"North Spine Plaza, Level 2"
Supermarkets,Giant Super,Hall 2
Supermarkets,Prime Supermarket,"North Spine Plaza, Level 1"
Convenience Stores,7-Eleven Convenience Store,"· Hall 2· Hall 14, next to canteen"
Convenience Stores,Buzz,"North Spine Plaza, Level 1"
Bookstores,Popular Bookstore,NIE 4-B1-10
Bookstores,Booklink Pte Ltd,"Blk S4, Level B5"
Travel,STA Travel,"North Spine Plaza, Level 1"
Lifestyle,Campus Supplies,"North Spine Plaza, Level 1"
Lifestyle,Flower Cottage by Noel,"North Spine Plaza, Level 1"
Lifestyle,HerVelvetVase,"North Spine Plaza, Level 1"
Lifestyle,Mini Toons & More,"North Spine Plaza, Level 1"
Lifestyle,U-shop,"North Spine Plaza, Level 1"
Computer Store,Eight Flags ComputerSystems & Supplies,"South Spine, Level B3, near Canteen B"
Hair Care,Hair Therapy,Next to Canteen 2
Hair Care,K-Cuts,"North Spine Plaza, Level 1"
Self-service Machines,AXS Machine,"· North Spine, Level 2·South Spine, Level B3·Near Canteen 2"
Self-service Machines,Photo-Me (Instant photo taking),"· North Spine, Level 2·South Spine, Level B3, Canteen B"
