,"$ 940,057","$ 855,218"
,"89,434","82,385"
,一,"25,703"
,"12,394","68,652"
,"247,535","240,506"
,"70,728","106,283"
"Buildings..Total..Less accumulated depreciation and amortizationProperty and equipment, net","398,468","320,410"
"Buildings..Total..Less accumulated depreciation and amortizationProperty and equipment, net","1,758,616","1,699,157"
"Buildings..Total..Less accumulated depreciation and amortizationProperty and equipment, net","(971,195)","(914,034)"
"Buildings..Total..Less accumulated depreciation and amortizationProperty and equipment, net","$ 787,421","$ 785,123"
