Name,Age,Positions
Shantanu Narayen,52,President and Chief Executive Officer Mr. Narayen currently serves as Adobe's President and Chief Executive Officer. Mr. Narayen
Shantanu Narayen,52,"joined Adobe in January 1998 as Vice President and General Manager of Adobe's engineering technology group. In January 1999, he waspromoted to Senior Vice President, Worldwide Products and in March 2001 he was promoted to Executive Vice President, Worldwide Product Marketing and Development. In January 2005,Mr. Narayen was promoted to President and Chief Operating Oficer and in December 2007, he was appointed Chief Executive Officer of Adobe and joined the Adobe Board of Directors.Prior to joining Adobe,Mr.Narayen co-founded Pictra Inc., a digital photo sharing software company, in 1996. He was Director of Desktop and Collaboration products at Silicon Graphics Inc.before founding Pictra. Mr. Narayen is also a"
Mark Garrett,58,"director of Pfizer Inc. Executive Vice President, Chief Financial Officer Mr. Garrett joined Adobe in February 2OO7 as Executive Vice President and Chief Financial"
Mark Garrett,58,"Officer. Mr. Garrett served as Senior Vice President and Chief Financial Officer of the Software Group of EMC Corporation,a products, services and solutions provider for information management and storage, from June 2004 to January 2007, his most recent position since EMC's acquisition ofDocumentum, Inc.,an enterprise content management company,inDecember 2003. Mr. Garrett first joined Documentum as Executive Vice President and Chief Financial Officer in 1997, holding that position through October 1999 and then re-joining Documentum as Executive Vice President and Chief Financial Officer in 2002.Mr. Garrett is also a director of Pure Storage,"
Matthew Thompson,57,"Inc.and Model N, Inc. Executive Vice President, Worldwide Field Operations"
Matthew Thompson,57,"Mr. Thompson currently serves as Executive Vice President, Worldwide Field Operations.Mr. Thompson joined Adobe in January 2O07 as Senior Vice President, Worldwide Field Operations. In January 2013, he was promoted to Executive Vice President, Worldwide Field Operations. Prior to joining Adobe,Mr. Thompson served as Senior Vice President of Worldwide Sales at Borland Software Corporation, a software delivery optimization solutions provider,from October 2003 to December 2006.Prior to joining Borland,Mr.Thompson was VicePresidentofWorldwide Sales and Field Operations for Marimba, Inc., a provider of products and services for software change and configuration management, from February 2001 to January 2003.From July 2000 to January 2001,Mr. Thompson was Vice President of Worldwide Sales for Calico Commerce,Inc., a provider of eBusiness applications.Prior to joining Calico,Mr. Thompson spent six years at Cadence Design Systems,Inc.,a provider of electronic design technologies.While at Cadence, from January 1998 to June 2000,Mr. Thompson served as Senior Vice President, Worldwide Sales and Field Operations and from April 1994 to January 1998 as Vice President,Worldwide Professional Services."
Michael Dillon,57,"Senior Vice President, General Counsel and Corporate Secretary Mr. Dillon joined Adobe in August 2012 as Senior Vice President, General Counsel and Corporate Secretary. Prior to joining Adobe,Mr.Dillon served as General Counsel and Corporate Secretary of Silver Spring Networks, a networking solutions provider, from November 2010 to August 2012.Before joining Silver Spring Networks,Mr. Dillon served in various capacities at Sun Microsystems, a diversified computer networking company, prior to its acquisition by Oracle Corporation. While at Sun Microsystems, from April 2006 to January 2010,Mr. Dillon served"
Bryan Lamkin,55,"Senior Vice President, General Counsel and Corporate Secretary,and from July 2002 to March 2004 as Vice President, Products Law Group. From October 1999 until June 2002,Mr. Dillon served as Vice President, General Counsel and Corporate Secretary of ONI Systems Corp,an optical networking company. Senior Vice President and General Manager, Digital Media Mr. Lamkin currently serves as Senior Vice President and General Manager, Digital Media. He rejoined Adobein February 2013as Senior Vice President,Technology and Corporate Development.From June 2011 to May 2012,Mr.Lamkin served as Presidentand ChiefExecutive"
,,"Officer of Clover, a mobile payments platform. Prior to Clover, Mr.Lamkin co-founded and served as the Chief Executive Officer of Bagcheck,a sharing and discovery platform, from June 2010 to May 2011.From April 2009 to June 2010,Mr.Lamkin served as Senior Vice President ofConsumer Products and Applications at Yahoo!,a global technology company providing online search, content and communication tools. From May 2008 to April 20o9 Mr. Lamkin served as Executive in Residence at Sutter Hill Ventures.Mr. Lamkin previously was with Adobe from 1992 to 2Oo6 and held various senior management positions including Senior Vice President, Creative Solutions Business Unit."
Ann Lewnes,54,"Senior Vice President and Chief Marketing Officer Ms. Lewnes joined Adobe in November 2006 and currently serves as Senior Vice President and Chief Marketing Officer. Prior to joining Adobe,Ms.Lewnes spent 20 years at Intel Corporation, where she was Vice President of Sales and Marketing.Ms.Lewnes has been elected to the board"
Donna Morris,48,"of directors of Mattel, Inc., effective February 1,2015. Senior Vice President, Customer and Employee Experience Ms.Morris currently serves as Senior Vice President of Adobe's Global Customer and Employee Experience organization. Ms. Morris joined Adobe as_Senior Director of Global Talent Management in April 2002 through the acquisition of Accelio Corporation, a Canadian software company, where she served as Vice President of Human Resources and Learning. In December"
Abhay Parasnis,41,"2005 Ms.Morrs was promoted to Vice President Global Human Resources Operations and subsequently to Senior Vice President Human Resources in March 2007. Senior Vice President, Cloud Technology & Services and Chief Technology Officer Mr. Parasnis joined Adobe in July 2015 as Senior Vice President of Adobe's Cloud Technology & Services organization and Chief Technology Officer. Prior to joining Adobe, he served as President and Chief Operating Officerat Kony, Inc. from March 2013 to March 2015.From"
Bradley Rencher,42 acquisition of Omniture in 20o9.Following the acquisition he joined Adobe as Vice President of,"January 2012 to November 2013,Mr. Parasnis was a Senior Vice President and later Strategic Advisor for the Oracle Public Cloud at Oracle. Prior to joining Oracle,he was General Manager of Microsoft Azure AppFabric at Microsoft from April 2009 to December 2011. Senior Vice President and General Manager, Digital Marketing Mr. Rencher serves as Senior Vice President and General Manager of Adobe's Digital Marketing business unit.Mr. Rencher joined Omniture, Inc.in January_20o8 as Vice President of Corporate Development and was promoted to Senior Vice President of Business Operations prior to Adobe's"
