Current:United States federalForeign,Current:United States federalForeign,2015,2015,2014,2013,,,
Current:United States federalForeign,Current:United States federalForeign,"$ 204,834","$ 204,834","$ 26,822","$ (53,985)",,,
Current:United States federalForeign,Current:United States federalForeign,"52,125","52,125","51,684","65,609",,,
State and localTotal current..,State and localTotal current..,"(14,975)","(14,975)","4,713","3,317",,,
State and localTotal current..,State and localTotal current..,,"241,984","241,984","83,219","14,941",,
Deferred:United States federalForeign .State and localTotal deferred.Tax expense attributable to employee stock plans.Provision for income taxes.,Deferred:United States federalForeign .State and localTotal deferred.Tax expense attributable to employee stock plans.Provision for income taxes.,,,,,,,
Deferred:United States federalForeign .State and localTotal deferred.Tax expense attributable to employee stock plans.Provision for income taxes.,Deferred:United States federalForeign .State and localTotal deferred.Tax expense attributable to employee stock plans.Provision for income taxes.,"(31,011)","(31,011)","241,984","83,219","14,941","(24,090)","24,139"
Deferred:United States federalForeign .State and localTotal deferred.Tax expense attributable to employee stock plans.Provision for income taxes.,Deferred:United States federalForeign .State and localTotal deferred.Tax expense attributable to employee stock plans.Provision for income taxes.,"(9,368)","(9,368)","(12,895)","(6,215)",,,
Deferred:United States federalForeign .State and localTotal deferred.Tax expense attributable to employee stock plans.Provision for income taxes.,Deferred:United States federalForeign .State and localTotal deferred.Tax expense attributable to employee stock plans.Provision for income taxes.,"(25,511)","(25,511)","(6,476)","(7,328)",,,
Deferred:United States federalForeign .State and localTotal deferred.Tax expense attributable to employee stock plans.Provision for income taxes.,Deferred:United States federalForeign .State and localTotal deferred.Tax expense attributable to employee stock plans.Provision for income taxes.,,"241,984",,,,,
Deferred:United States federalForeign .State and localTotal deferred.Tax expense attributable to employee stock plans.Provision for income taxes.,Deferred:United States federalForeign .State and localTotal deferred.Tax expense attributable to employee stock plans.Provision for income taxes.,,"(65,890)","(65,890)","(43,461)","10,596",,
Deferred:United States federalForeign .State and localTotal deferred.Tax expense attributable to employee stock plans.Provision for income taxes.,Deferred:United States federalForeign .State and localTotal deferred.Tax expense attributable to employee stock plans.Provision for income taxes.,"68,136","68,136","53,223","40,619",,,
Deferred:United States federalForeign .State and localTotal deferred.Tax expense attributable to employee stock plans.Provision for income taxes.,Deferred:United States federalForeign .State and localTotal deferred.Tax expense attributable to employee stock plans.Provision for income taxes.,"$ 244,230","$ 244,230","$ 92,981","$ 66,156",,,
