,Number of Shares,Weighted Average Remaining Contractual Life,Aggregate Intrinsic Value(C (millions)
,(thousands),(years),Aggregate Intrinsic Value(C (millions)
2015 Restricted stock units outstanding.,"10,069",0.93,$
Restricted stock units vested and expected to vest,"9,267",0.86,928.0 $ 842.9
2014,,,
Restricted stock units outstanding.,"13,564",0.94,$ 999.4
Restricted stock units vested and expected to vest,"12,352",0.87,$ 903.1
2013 Restricted stock units outstanding.,"17,948",,
,"16,265",1.09,"$ 1,019.1"
Restricted stock units vested and expected to vest,,1.02,$ 920.5
