,Common Stock,Common Stock,Additional Paid-In Capital,Retained,Accumulated Other,Accumulated Other,Treasury Stock,Treasury Stock,Total,
,Shares,Amount,Additional Paid-In Capital,Retained,Earnings,Comprehensive Income(Loss),Shares,Amount,Total,
,"Balances at November 30,2012","600,834",$,"61 $3,038,665",,"$7,003,003 $",,,,"(106,702)$(3,407,259)$6,665,182"
Net income.,,,,,"289,985","30,712",,,"289,985",
"Other comprehensive income, net of taxes....",,,,,,,,,,
Re-issuance of treasury stock under stock compensation plans..,,,,,,"15,391",,,"15,391",
Tax benefit from,,,,,"(364,024)",,"23,732","864,800","500,776",
employee stock plans.. Purchase of treasury stock .,,,,"25,290",,,"(21,603)","(1,100,000)","25,290 (1,100,000)",
Equity awards assumed for,,,,,,,,,,
acquisition Stock-based compensation..,,,,"1,160",,,,,"1,160",
Value of shares in deferred,,,,"327,581",,,,,"327,581",
"compensation plan. Balances atNovember 29,2013","600,834",$,61,"$3,392,696","$6,928,964","46,103",,"(731) (104,573）$(3,643,190)","(731) $6,724,634",
Net income.,,,,,"268,395",,,,"268,395",
"Other comprehensive income, net of taxes...",,,,,,"(54,197)",,,"(54,197)",
Re-issuance of treasury stock under stock compensation plans..…,,,,,"(273,065)",,"12,075","327,231","54,166",
Tax benefit from employee stock plans...,,,,"53,225",,,,,"53,225",
Purchase of treasury stock,,,,,,,"(10,852)","(600,000)","(600,000)",
Equity awards assumed for acquisitio....,,,,21,,,,,21,
Stock-based compensation..,,,,"332,553",,,,,"332,553",
Value of shares in deferred compensation plan..,,,,,,,,"(2,892)","(2,892)",
"Balances at November 28,2014","600,834",$,61,"$3,778,495","$6,924,294","(8,094)",,"(103,350) $(3,918,851)","$6,775,905",
"Net income.... Other comprehensive income,",,,,,"629,551",,,,"629,551",
net of taxes... Re-issuance of treasury stock under,,,,,,"(160,986)",,,"(160,986)",
stock compensation plans..,,,,,"(300,414)",,"8,429","278,311","(22,103)",
Tax benefit from employee stock plans..,,,,"68,133",,,,,"68,133",
Purchase of treasury stock.,,,,,,,"(8,104)","(625,000)","(625,000)",
Equity awards assumed for acquisition,,,,677,,,,,677,
Stock-based compensation.,,,,"337,578",,,,,"337,578",
Valueof shares in deferred compensation pl....,,,,,,,,"(2,175)","(2,175)",
"Balances at November 27,2015","600,834",$,61,"$4,184,883","$7,253,431","(169,080)","(103,025)","$(4,267,715)","$7,001,580",
