"(in thousands, except per share data)",2015,2015,2015,2015,2015,2015,2015,
"(in thousands, except per share data)",,,Quarter Ended,Quarter Ended,Quarter Ended,,,
"(in thousands, except per share data)",February 27,February 27,May 29,May 29,August 28,August 28,November 27,November 27
Revenue.....,"$ 1,109,181",$,"1,162,158",$,"1,217,768",$,"1,306,404",
Gross profit .,"$ 942,383",$,"976,985",$,"1,026,783",$,"1,105,043",
Income before income taxes .,"$ 163,248",$,"180,974",$,"232,619",$,"296,940",
Net income .,"$ 84,888",$,"147,493",$,"174,465",$,"222,705",
Basic net income per share . $,$ 0.17,$,0.30,$,0.35,$,0.45,
Diluted net income per share,0.17,$,0.29,$,0.34,$,0.44,
"(in thousands, except per share data)",2014,2014,2014,2014,2014,2014,2014,
"(in thousands, except per share data)",Quarter Ended,Quarter Ended,Quarter Ended,Quarter Ended,Quarter Ended,Quarter Ended,,
"(in thousands, except per share data)",February 28,,May 30,,August 29,,November 28,
Revenue...,"$ 1,000,120",$,"1,068,208",$,"1,005,409",$,"1,073,328",
Gross profit .,$,"851,611 $","913,304",$,"847,685",$,"912,385",
Income before income taxes .,$,"64,892 $","121,271",$,"62,938",$,"112,275",
Net income .,"$ 47,046",$,"88,527",$,"44,686",$,"88,136",
Basic net income per share.,$,0.09 $,,0.18 $,0.09,$,0.18,
Diluted net income per share,$,0.09 $,,0.17 $,0.09,$,0.17,
