,Number of Shares,Weighted Average Exercise,Weighted Average Remaining Contractual Life (years),,Aggregate Intrinsic Value( (millions),,
,(thousands),Price,,,,,
2015,,$ 28.28,2.67,,Aggregate Intrinsic Value( (millions),$,
Options outstanding,"1,327",,2.66,,84.8,,
Options vested and expected to vest.,"1,319",$,28.39,$,84.1,,
Options exercisable,"1,214",$,30.08 2.40,$,75.4,,
2014,"3,173",$,28.92 3.19,$,142.0,,
Options outstanding. Options vested and expected to vest.,"3,153",$,29.00,$,,,
Options exercisable,"2,786",$,30.24,3.17 2.85,140.9,,
2013,,,,$,121.0,,
Options outstanding,"7,359",$,29.93,3.22 $,197.6,,
Options vested and expected to vest.,"7,242",$,30.05,$,193.6,,
,"5,752",$,31.28,3.18 2.65,,,
Options exercisable,,,,$,146.7,,
