Deferred tax assets:,2015,2015
Deferred tax assets:,$,
Acquired technology,"9,071","$ 9,477"
Reserves and accruals.,"33,251","46,569"
Deferred revenue .,"17,110","16,311"
Unrealized losses on investments.,"5,505","6,723"
Stock-based compensation .,"59,103","58,501"
Net operating loss carryforwards of acquired companies,"20,877","9,082"
Credit carryforwards,"57,568","41,419"
Capitalized expenses Benefits relating to tax positions.,"17,566",丨
Other..,"43,095","9,540"
Total gross deferred tax assets.,"20,648","10,974"
Deferred tax asset valuation allowance.,"283,794","208,596"
Total deferred tax assets,"(21,286)","(22,100)"
Deferred tax liabilities:.,"262,508","186,496"
Depreciation and amortization,,
Undistributed earnings of foreign subsidiaries,"62,143","73,295"
Acquired intangible assets..,"249,159","221,845"
,"159,415","138,392"
Total deferred taxliabilities.,"470,717","433,532"
Net deferred tax liabilities.,"$ 208,209","$ 247,036"
