Average,Average,Average,Average,Total Number of Shares Purchased as Part of,Approximate Dollar Value thatMay Yetbe Purchased Under the Plan()
Period,Total Number of Shares Repurchased,Price Per Share,Publicly Announced Plans,Total Number of Shares Purchased as Part of,Approximate Dollar Value thatMay Yetbe Purchased Under the Plan()
,,,"(in thousands,except average price per share)",,"1,734,851"
Beginning repurchase authority,,,,$,
"August 29—September 25,2015",440$,,79.11,440 $,"(34,851)"
Shares repurchased.,,,,,
"September 26—October 23,2015. Shares repurchased.",532,$,83.60,532 $,"(44,492) (2)"
"October 24—November 27,2015",,,,,
Shares repurchased.,475,$,89.10,475 $,"(42,282) (2)"
,"1,447",,,"1,447 $","1,613,226"
Total.,,,,,
