Fiscal,2015,Fiscal 2014,Fiscal 2013,% Change 2015-2014,% Change 2014-2013
Research and development,$ 862.7,$ 844.4,$ 826.6,2%,2%
Percentage of total revenue,18%,20%,20%,,
Sales and marketing,"1,683.2","1,652.3","1,620.5",2%,2%
Percentage of total revenue,35%,40%,40%,,
General and administrative,531.9,543.3,520.1,(-2)%,4%
Percentage of total revenue,11%,13%,13%,,
Restructuring and other charges,1.6,19.9,26.5,*,(25)%
Percentage of total revenue,**,**,1%,,
Amortization of purchased intangibles,68.7,52.4,52.3,31%,
Percentage of total revenue,1%,1%,1%,,
Total operating expenses,"$ 3,148.1","$ 3,112.3","$ 3,046.0",1%,2%
